12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene1	804.321345787753	618.396246251246	170.901798104163	521.97946985939	373.257699082488	10.1128891144862	388.366645401515	371.366056964941
gbgene2	0	0	0	0.840546650337183	0	0	1.52300645255496	0
gbgene3	525.874011203747	646.08563041175	741.847469982876	519.457829908379	544.334144495295	565.057679271917	613.010097153372	615.259241201837
gbgene4	1405.531240619	1729.92723898003	1543.84473482923	1121.2892315498	1232.22894248386	1322.26025171907	1493.30782673014	1487.6747401036
gbgene5	152.887528538168	158.225052345735	421.048564044335	318.567180477792	267.979886520761	188.352559757306	300.793774379605	360.313495745747
gbgene6	0	21.096673646098	1.90951729725322	0.840546650337183	0	6.32055569655388	2.28450967883244	1.47367482922596
gbgene7	15324.9436214418	15337.2817407132	14012.0379272441	14685.1905280409	13554.5183673224	12360.4787201808	14451.808228294	13580.6503887318
gbgene8	151.410354349393	89.6608629959163	2.86427594587983	25.2163995101155	301.477372335856	178.239670642819	242.158025956239	19.8946101945504
gbgene9	1076.12139652227	1592.7988602804	1495.15204374927	1247.37122910038	1375.78959597712	1465.10481046119	1368.42129762063	1607.04240127091
gbgene10	616.720223813383	784.532551214268	582.402775662232	534.587669614448	718.999606245434	620.678569401591	740.181135941711	559.996435105864
gbgene11	507.409333844065	489.179120168896	419.139046747082	497.603616999612	483.320866760658	337.517674195977	517.822193868687	479.681156913049
gbgene12	183.908186502434	189.870062814882	170.901798104163	190.80408962654	232.089723147445	198.465448871792	181.23776785404	219.577549554668
gbgene13	412.870185762492	340.183862543329	481.198358907811	493.400883747926	485.713544318879	584.019346361579	411.973245416117	477.47064466921
gbgene14	4905.69548092035	4827.18263864779	2410.76558778219	3467.25493264088	3615.33579047205	1633.23159198952	4172.27617677431	3532.39856565462
gbgene15	14899.5174550747	12481.3195458727	5695.13533905773	9051.00633083078	9666.41733521315	3.79233341793233	8386.43503099389	8849.41734950188
gbgene16	82.7217545713759	204.374025946574	67.7878640524893	21.8542129087667	3.58901633733162	30.3386673434586	10.6610451678847	6.63153673151681
gbgene17	328.671257002342	605.210825222435	537.529119176781	706.899732933571	659.182667289907	595.396346615376	754.649697240983	476.733807254597
gbgene18	947.607242098887	737.065035510547	652.100157011974	1105.3188451934	951.089329392878	285.689117484235	867.35217473005	803.152781928147
gbgene19	1806.5840328713	1811.67684935866	2668.55042291137	1992.93610794946	2008.65281012659	2390.43416443668	2033.97511738715	2182.51242208364
gbgene20	117.435348007578	118.668789259301	189.996971076695	207.615022633284	189.021527099465	98.6006688662406	178.953258175208	177.577816921728
gbgene21	2525.22927571013	2956.17139465948	1214.45300105305	1685.29603392605	2037.36494082525	1010.02480030931	1825.32323338712	2105.14449354928
gbgene22	3.69293547193643	1.31854210288112	21.0046902697854	6.72437320269746	3.58901633733162	13.9052225324185	18.2760774306595	8.10521156074277
gbgene23	0	0	3.81903459450644	0	0	1.26411113931078	0	0
gbgene24	7.38587094387285	15.8225052345735	3.81903459450644	3.36218660134873	5.98169389555269	3.79233341793233	5.33052258394236	4.42102448767787
gbgene26	121.128283479515	47.4675157037204	37.2355872964378	8.40546650337183	7.17803267466323	141.580447602807	98.9954194160724	70.736391802846
gbgene27	59.0869675509828	48.7860578066015	49.6474497285837	21.8542129087667	23.9267755822108	132.731669627632	24.3681032408794	13.9999108776466
gbgene28	0	0	0	1.68109330067437	0	0	0	0
gbgene29	2045.88625145278	1545.33134457668	2209.31151292197	2462.80168548795	2324.48624781178	2702.66961584644	2525.9062015624	2153.03892549912
gbgene30	11185.162957401	11899.8424785021	4291.64012557661	6581.48027214014	8945.0250514095	266.727450394574	8835.7219344976	9610.57039879708
gbgene31	291.00331518859	257.115710061819	285.472835939356	386.651459155104	397.184474664699	278.104450648371	253.580574350401	304.31385223516
gbgene32	1085.72302874931	1071.97472964235	1519.02100996494	1349.91792044152	1032.4403663724	1685.06014870126	1210.02862655492	1145.78217972318
gbgene33	762.221881407678	572.247272650407	546.121947014421	537.10930956546	434.270976817126	618.15034712297	435.579845430719	711.784942516138
gbgene34	899.599080963713	624.988956765652	866.920852952961	1200.3006166815	1351.86282039491	833.049240805802	1358.52175567902	1241.57104362287
gbgene35	228.961999260058	127.898583979469	169.947039455536	132.806370753275	117.241200352833	176.975559503509	107.371954905125	146.630645507983
gbgene36	223.791889599347	13.1854210288112	32.4617940533047	22.6947595591039	22.7304368031002	51.8285567117418	72.3428064963606	18.4209353653245
gbgene37	1404.05406643023	1674.54847065903	622.502638904549	1010.33707370529	1222.65823225097	174.447337224887	1154.43889103666	1219.46592118448
gbgene38	48986.7890352367	45464.650249444	13520.3372232014	21945.8324936535	25225.9994963248	26.5463339255263	23608.1230210544	25311.8388667851
gbgene39	111.52665125248	122.624415567944	114.571037835193	74.8086518800093	136.382620818601	331.197118499423	112.702477489067	137.788596532627
gbgene40	6458.20555332242	5003.86728043386	4445.35626800549	6152.80148046818	7414.90775292712	3581.22685766743	6436.22526849726	6603.53690976152
gbgene41	3995.01759354083	3648.40599867206	1128.52472267665	2040.00672036834	2141.44641460786	1.26411113931078	1815.42369144551	1984.30315755275
gbgene42	858.238203678025	406.110967687386	404.817667017682	752.289252051778	753.69343083964	140.316336463496	681.545387518345	622.627615347967
gbgene43	84.1989287601505	84.3866945843918	87.8377956736481	94.1412248377645	70.5839879675218	115.034113677281	91.3803871532976	83.2626278512666
gbgene44	96.0163222703471	55.3787683210071	97.3853821599142	237.874702045423	178.25447808747	2.52822227862155	186.568290437983	158.42004414179
