Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg12726,7,73,1,0,0,0,1,0
jg21197,24,31,63,161,51,9,125,63
jg21393,300,254,99,55,96,146,145,168
jg11009,0,0,0,1,0,3,0,0
jg580,0,0,0,0,2,0,0,0
jg10636,279,837,625,1323,693,322,1115,1032
jg37433,6,1,1,13,6,0,5,6
jg34771,0,0,1,0,0,0,0,0
jg7553,589,1035,1008,711,451,964,810,808
jg17319,531,730,731,626,412,571,711,712
35910_g,0,0,0,0,0,0,0,0
jg30761,1,4,0,0,0,0,2,3
jg23628,0,6,13,16,6,5,9,6
jg31870,0,0,0,0,0,0,0,0
jg12771,0,0,0,1,3,0,3,1
jg19473,1,4,7,25,59,0,19,151
jg37626,24,9,14,14,2,3,20,11
jg37453,0,0,0,0,0,1,0,1
jg26762,0,0,0,0,0,0,0,0
jg15502,283,174,16,137,115,175,320,548
jg7655,978,1414,671,930,823,352,1180,1367
jg15689,0,0,0,0,0,0,0,0
jg11723,26,7,0,0,0,0,0,0
jg9641,7705,16687,3536,6689,5753,0,6761,9618
jg28584,7,5,2,2,7,6,4,8
jg22160,1,0,0,0,0,0,0,0
jg15156,0,1,1,3,1,0,0,0
jg1568,12,793,450,301,617,13,266,487
jg16108,113,873,1634,1413,544,2413,1225,634
jg37377,1572,2287,1504,1146,893,1490,1373,1651
jg26099,0,1,0,1,3,2,0,0
jg33877,2,1,1,0,0,0,0,0
jg25114,24,31,67,13,60,40,32,127
jg31808,0,0,0,0,0,0,0,0
jg20939,8564,14811,3621,7465,6255,5,10077,11476
jg20740,0,0,0,0,0,0,0,0
jg10803,5,9,14,16,7,14,12,10
jg34806,891,379,162,348,191,3,225,302
jg60,156,227,130,190,125,35,169,151
jg6828,841,1236,19,84,51,9,71,127
jg21669,16,58,18,19,17,10,41,26
jg5514,4376,5075,18470,19817,17257,20855,23817,19390
jg33596,11,31,1,0,0,0,0,0
jg35889,0,0,0,0,2,0,0,2
jg26180,122,147,210,149,112,146,164,157
jg31866,1,8,0,0,5,0,1,4
jg14091,29,68,45,65,45,32,85,80
6728_g,0,0,0,0,0,0,0,0
jg17633,1748,2907,826,12,65,8,14,492
m1-g22474,0,0,1,0,1,0,0,7
jg991,31,40,32,49,41,52,50,59
jg28324,14,0,0,2,0,1,4,0
jg20287,0,0,0,0,0,0,0,0
jg9174,1,1,1,10,5,19,5,10
jg17045,2,5,29,7,12,14,12,1
jg17449,4,18,0,0,2,1,0,0
jg36382,1292,2524,2561,2609,1563,2175,2764,2542
jg13874,0,0,1,4,2,0,4,1
jg27633,43,178,56,230,130,12,100,225
jg26123,489,802,491,509,463,261,462,782
jg21080,0,1,0,0,0,0,0,0
jg32704,0,2,0,2,0,0,1,4
jg20833,0,0,0,0,0,0,0,0
jg26591,0,0,0,0,0,0,0,0
jg17001,0,0,0,8,3,3,6,0
jg32437,0,0,0,0,0,0,0,0
jg4906,16,16,1,6,0,6,4,2
jg3879,0,0,0,0,0,0,0,0
7578_g,0,1,0,0,0,0,0,1
jg20637,0,0,0,0,0,0,0,0
jg19778,184,346,78,122,89,1,137,224
jg7876,8,4,53,68,60,41,69,36
jg7785,31,24,14,6,3,5,9,6
jg31677,65,67,86,95,94,19,138,183
jg19702,60,8,0,0,0,0,0,0
jg32685,957,1760,1548,1964,2314,1414,2314,2227
jg28993,9,1,11,21,7,11,26,12
jg18522,62,110,670,409,431,401,394,627
jg21954,1,0,4,3,3,4,5,2
34671_g,0,0,0,0,0,0,0,0
jg8507,5,8,1,9,9,16,6,6
jg23460,0,0,0,2,0,0,0,0
jg25949,191,131,34,17,16,21,21,36
jg26056,269,550,247,330,193,472,307,322
jg33063,2,6,3,0,0,7,0,0
jg2658,5,12,6,3,3,2,10,15
jg6854,82,122,103,102,54,92,119,156
jg8906,1,5,1,0,4,0,0,4
jg8526,0,0,0,0,0,0,0,0
jg22673,7605,8320,3437,6704,6342,464,9482,10032
jg963,2317,5880,2059,3924,2907,558,3872,4176
jg23423,0,1,1,0,2,0,1,0
jg36128,0,1,4,7,6,0,5,10
jg12799,0,10,0,9,1,0,0,1
jg21700,2,2,4,0,25,4,3,3
jg31004,184,427,175,408,409,2,392,625
jg970,2,15,30,29,5,8,90,54
jg19115,0,0,0,0,0,0,0,0
jg13093,0,3,1,2,3,0,3,8
30067_g,0,0,0,0,0,0,0,0
jg12983,0,3,0,0,1,0,0,1
jg14609,134,687,427,752,989,110,1194,454
17918_g,0,0,0,0,0,0,0,0
jg35508,0,0,1,23,42,6,2,21
jg24931,547,1009,905,901,597,685,965,1118
jg1302,504,965,339,59,194,17,108,113
jg5231,183,556,577,442,346,816,446,544
jg21945,1147,2798,1560,1900,1253,1354,2012,1925
jg1884,0,0,0,0,0,0,0,0
jg27696,828,1174,787,900,656,903,1209,1010
jg5826,27,163,228,143,59,211,9,4
jg20340,0,0,0,0,0,0,0,0
7054_g,0,0,0,0,0,0,0,0
jg9009,1,23,18,0,8,0,4,1
jg13884,0,0,0,0,0,0,0,0
jg15576,0,2,0,0,0,0,0,0
jg10483,0,0,0,0,0,0,0,0
jg1858,1464,5279,6065,3996,2830,8226,5739,2540
jg26613,1614,2944,1504,1202,1665,1763,1966,1516
jg18584,0,3,0,2,0,0,0,1
jg34952,0,0,0,1,0,0,0,0
jg13587,0,0,0,0,0,0,0,0
jg21727,812,859,1358,1169,1589,1032,1470,1944
jg12193,0,0,0,0,0,0,0,0
jg29357,0,0,0,0,0,0,0,0
