Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg12245,0,0,2,0,0,0,0,0
jg30574,0,0,0,0,0,0,0,0
jg25787,670,1296,18752,8417,2522,7830,3132,9958
jg231,0,0,0,0,0,2,0,0
jg17585,2,13,0,3,19,2,3,9
jg23933,37,21,33,5,15,15,39,28
jg25433,0,4,0,0,0,0,1,0
jg5857,6,0,0,0,1,2,0,0
jg33022,333,702,512,489,381,491,584,754
jg28490,14,12,9,6,8,13,23,16
jg21940,1039,2157,1144,1037,901,924,1366,1544
jg23536,0,0,0,1,0,0,0,0
jg3421,18,61,1,3,0,1,1,1
jg23965,110,567,68,324,93,4,212,271
jg16543,26,19,36,44,13,45,31,44
jg17294,13,4,3,0,25,2,8,0
jg1679,2127,3536,2817,3150,3358,2607,4038,4328
jg31172,0,0,0,0,0,0,2,0
jg578,2644,2335,1898,681,591,777,940,763
jg27066,0,0,0,0,0,0,0,1
jg30497,385,638,194,320,239,78,426,355
jg30399,2,6,1,1,4,1,11,2
jg6640,4,1,13,14,1,6,5,9
jg28348,0,0,1,0,0,0,0,0
jg33853,8314,16014,11107,10873,7620,11255,12780,12945
jg7564,294,2800,176,246,136,118,201,222
jg8530,8,1,5,73,18,2,62,109
jg36215,1,0,0,0,0,0,0,0
jg16977,466,1087,440,686,481,52,889,950
jg15588,0,0,4,2,3,0,8,0
jg30730,10,14,1,5,1,0,0,5
jg12523,33,56,1,95,205,2,5,169
jg30858,3,5,2,18,1,2,5,4
jg21261,0,0,0,0,0,0,0,0
jg6077,3,6,3,4,2,3,0,3
jg20768,0,0,0,0,0,0,0,0
jg29556,77,253,143,183,296,42,345,264
jg21544,1,0,0,0,1,0,1,1
jg25869,0,0,0,2,4,0,1,5
jg17771,0,0,0,0,0,0,0,0
jg1945,0,0,32,5,1,3,509,23
jg37268,40,27,72,37,38,83,42,48
jg28253,0,0,0,0,0,0,0,0
jg10621,195,213,127,168,92,151,356,199
jg8454,28,9,15,10,27,0,34,48
jg1001,69,575,77,54,335,66,332,65
jg16682,19,41,169,108,106,10,171,11
jg19990,78,128,69,103,110,78,144,143
jg3521,0,1,1,4,2,7,19,32
jg29886,4,57,17,13,46,0,51,7
jg35171,89,38,87,77,18,105,34,39
jg6579,0,0,0,0,0,0,0,0
jg2500,12,14,10,6,3,1,10,6
jg37184,49,54,36,74,7,33,43,21
jg25453,30298,38536,8969,15277,12204,12,21274,22737
jg36928,1427,2544,1249,1716,1281,1240,1878,1773
jg36779,0,0,0,6,0,1,2,0
jg29528,75,65,72,51,6,25,19,49
jg2816,17,60,2,1,2,0,0,3
jg6962,671,1099,800,1056,809,799,1232,1336
jg14236,0,2,0,0,0,7,0,3
jg18998,644,997,1754,1285,390,1507,1017,1106
jg10641,0,0,0,0,0,0,0,0
jg31900,8,12,11,3,1,11,4,3
jg36055,142,596,230,256,95,177,239,309
jg10974,1080,2396,530,1120,728,12,989,1178
jg4855,0,0,0,0,0,2,0,0
jg13574,0,21,22,12,11,27,39,27
m1-g20392,0,0,0,0,0,0,0,0
jg3462,0,1,86,59,17,94,36,18
jg6183,13,18,5,4,21,16,10,51
jg13358,0,0,0,0,0,0,2,0
31779_g,0,0,0,0,0,0,0,0
jg23763,0,0,0,0,0,0,1,0
jg25815,2259,6070,10667,7119,5457,13355,7256,6954
jg6617,271,280,277,209,306,373,252,387
jg29586,0,0,0,0,0,0,0,0
jg9985,2,3,1,9,4,4,60,9
jg20102,0,0,0,0,0,0,0,0
jg14127,0,0,0,0,0,0,0,0
jg28212,750,1717,606,971,728,0,1258,1278
jg12300,28,39,44,78,130,33,57,60
jg26080,0,4,0,0,2,0,2,2
jg22009,268,701,581,825,509,537,829,902
jg30188,842,2191,869,1706,1481,2,1794,2563
jg36311,5,0,0,0,0,0,1,0
jg7033,0,0,0,0,0,0,0,0
m1-g446,0,1,0,2,0,0,1,2
jg16823,0,0,0,0,1,0,0,3
jg3520,0,0,0,0,0,0,2,0
jg2255,0,0,0,0,0,0,0,0
jg25308,101,159,285,309,175,205,258,296
jg10495,0,0,0,2,0,2,0,0
jg11481,0,0,1,1,0,5,0,2
jg17248,0,0,0,0,0,0,4,1
jg29626,51,53,170,165,111,587,211,219
jg16931,2,9,46,14,34,7,59,70
jg29002,304,610,573,652,445,394,703,827
jg9918,0,0,0,0,0,0,0,0
jg15577,0,0,0,0,0,0,0,0
jg8480,0,0,0,0,0,0,0,0
jg29102,105,48,51,88,32,24,30,34
jg27699,445,627,492,621,341,481,620,570
jg26353,0,0,0,0,0,0,0,0
jg35794,0,0,0,0,0,0,0,1
jg35706,0,0,0,0,1,0,0,0
jg10831,0,1,7,4,2,6,10,8
jg12436,5005,10561,3063,5482,4188,2,5363,6061
jg22365,4242,9671,4624,7549,5434,1991,8245,11427
jg16528,17,17,7,18,15,4,17,18
jg26607,98,82,434,333,160,775,257,795
jg13657,0,0,0,1,0,1,0,0
jg22748,610,1285,977,1055,848,458,1547,1331
jg12258,0,1,0,0,0,0,0,0
jg8645,2297,3962,1966,3413,3159,526,4347,4466
31509_g,1,2,0,0,0,1,1,0
jg4682,0,0,0,0,0,0,0,0
jg25639,417,799,1032,889,528,763,833,1098
jg28512,9255,25648,715,1368,5827,1712,11585,3224
jg1359,491,1101,1082,1218,794,1091,1321,1346
jg20392,0,0,2,0,0,0,1,0
jg8944,0,5,0,0,0,0,0,2
jg34517,5,17,28,48,20,0,36,36
19647_g,0,0,0,0,0,0,0,0
25523_g,101,181,46,39,37,130,73,25
jg19437,1,3,0,3,8,0,16,14
jg36890,78,105,973,573,287,593,561,27
jg5872,0,0,0,0,0,0,0,0
jg13683,0,0,0,0,2,0,0,0
jg13733,2,0,6,1,3,3,1,2
jg30290,26,64,133,131,37,90,112,118
jg2291,2,13,157,6,0,0,9,2
jg20676,0,0,0,0,0,2,0,0
jg12591,765,757,2602,2196,649,2499,1563,2417
19599_g,2423,2774,1061,1783,1509,1,1930,2718
23419_g,0,0,0,0,0,0,0,0
jg23342,0,1,5,2,1,0,0,4
jg22563,302,517,345,357,295,253,429,705
jg18296,1,6,12,2,5,1,11,13
jg29325,0,0,0,0,0,0,0,0
jg32446,3,3,15,14,5,3,18,13
jg20861,0,0,0,0,0,0,0,0
12821_g,0,2,0,0,0,0,0,0
jg20193,0,0,0,0,0,0,0,0
jg763,11,28,2,29,22,1,37,20
jg21833,29,20,61,44,29,33,49,57
jg25842,0,0,0,0,0,0,0,0
jg37481,1,20,3,7,1,2,9,7
jg25008,111,339,99,68,61,0,56,60
14825_g,0,0,0,0,0,0,0,0
jg15703,151,220,507,355,169,81,386,237
jg22545,0,0,9,24,6,1,7,12
36003_g,0,0,0,0,0,0,0,0
jg30207,328,444,994,850,766,928,1023,1265
jg33891,9,12,28,6,25,3,43,40
jg27117,0,0,0,0,0,0,0,0
jg34214,1,3,0,1,1,0,2,0
jg24711,20,34,22,17,22,20,40,33
jg1429,0,8,13,15,7,9,15,3
jg24558,80,110,86,75,103,110,160,120
jg19548,160,253,272,216,117,200,204,205
jg28794,228,613,169,334,342,61,499,499
jg9892,11,34,12,10,12,9,28,25
jg14706,0,0,1,4,8,3,13,11
jg26669,12,30,1,1,6,4,1,6
jg13722,0,0,0,0,0,0,0,0
jg5810,25,36,20,79,158,108,68,64
jg28394,745,1356,471,629,630,159,1052,1076
jg7024,525,996,833,634,546,1145,703,732
jg12232,16,55,479,448,126,567,229,94
jg19651,8,4,0,2,12,0,1,2
jg21949,0,0,0,0,0,0,0,0
jg3486,0,0,0,1,0,0,0,0
jg15484,0,0,0,0,0,0,0,0
jg12053,0,5,6,0,6,14,0,5
jg22000,10,16,1,3,5,2,0,1
jg11001,1,3,0,0,1,0,0,0
jg28667,13,13,3,5,6,4,13,10
jg34821,0,1,2,7,0,2,0,3
jg13342,135,285,606,401,237,557,389,557
jg15369,0,0,0,0,1,0,0,0
4473_g,7,1,5,4,5,0,1,6
jg22266,60,104,11,24,56,25,20,58
jg7178,4,128,1,0,2,0,1,5
jg23093,0,4,0,0,0,0,0,0
jg7056,49,85,65,51,42,64,64,76
jg15672,49,26,72,103,55,46,110,143
jg21370,2903,5100,2631,3260,2781,2154,4308,3702
jg36620,394,620,548,368,146,580,329,103
jg11664,0,0,0,0,0,0,0,2
jg15467,0,0,0,0,0,0,0,0
jg13603,0,0,2,1,0,0,0,1
jg5095,7,77,9,17,40,0,12,25
jg33697,68,121,48,82,61,3,104,123
jg1030,0,0,0,0,0,0,0,0
jg10115,38,176,25,33,9,2,66,24
jg32514,3,17,13,10,9,22,12,13
jg21097,0,0,0,0,0,0,0,0
jg28835,406,635,1071,835,444,471,877,1113
16198_g,0,0,0,0,0,0,0,0
jg22213,0,0,0,0,0,0,0,0
jg7066,133,301,15,5,53,0,46,10
jg4956,1,13,0,6,9,2,0,9
jg10672,5,7,2,0,1,0,0,3
jg13382,7,14,2,7,6,7,16,6
jg9819,0,0,0,0,0,0,0,0
jg21876,0,0,0,0,1,0,0,2
jg36603,4,9,0,5,17,0,90,49
jg18155,8648,17865,30824,25616,11992,19964,20378,27772
jg23248,112,97,639,484,264,577,587,65
jg34987,4,0,1,0,0,2,2,2
jg26504,3,3,5,7,3,9,7,3
jg8782,0,0,0,0,0,0,0,0
jg7678,10990,25905,7048,19445,14184,7,21557,18448
jg3612,0,4,0,0,0,0,0,0
jg37315,0,0,0,0,0,1,0,0
jg5441,0,0,0,0,0,0,1,0
jg7044,0,0,0,0,0,0,0,0
jg13134,3343,5942,1675,2683,2557,264,3959,3735
jg1609,42,28,84,28,49,90,63,51
jg28076,0,0,0,0,0,0,0,0
jg8107,0,1,0,0,0,7,2,15
jg12597,295,714,614,827,559,223,824,950
jg22763,0,0,1,2,2,0,0,0
17701_g,0,0,0,0,0,0,0,0
jg9993,0,0,0,2,0,0,0,0
jg29093,0,295,0,0,0,0,0,1
jg31139,75,57,103,93,62,315,108,9
jg27136,5,16,2,2,1,5,0,1
jg24221,0,0,0,0,0,0,0,0
jg32878,0,0,0,0,0,0,0,0
jg20379,0,0,0,0,0,1,1,0
jg22929,5,15,18,7,3,0,12,15
jg27847,0,0,0,0,0,0,0,0
jg32216,2,4,0,0,4,0,5,9
jg17231,105,162,519,494,1695,1166,2154,1011
jg17834,3607,107,95,7,1,12,27,8
jg13429,259,404,409,205,219,296,358,297
31606_g,262,263,5,14,135,13,105,17
jg15923,44,31,135,62,17,162,57,81
jg16836,24,77,17,12,12,4,7,9
jg30471,18,70,34,107,104,0,74,98
jg30753,768,1245,788,917,500,527,800,946
jg18469,0,0,0,0,0,0,0,0
jg32073,167,471,246,318,294,6,495,714
jg30217,3,2,4,0,0,0,0,3
jg15879,0,0,1,0,0,0,1,0
jg33422,3,0,0,0,0,0,0,0
jg26535,546,1447,520,981,781,301,1071,1081
jg13117,57,211,188,199,108,127,165,166
jg23598,0,0,0,0,0,0,2,1
jg19577,19,33,36,16,27,14,42,18
jg33716,10,23,12,6,5,0,2,21
jg26119,25,1774,30,88,24,1,69,75
jg428,0,34,67,96,387,0,116,205
jg12420,0,1,0,0,0,0,2,0
jg17254,5,43,14,18,20,0,11,27
jg35970,242,405,139,292,199,18,255,257
jg2343,0,0,0,0,0,0,0,1
jg5784,0,4,5,11,9,2,11,0
jg33612,4,22,1,0,3,1,0,3
jg33347,0,0,0,2,0,3,1,0
jg27154,0,0,0,0,0,0,0,0
jg13164,0,0,2,0,0,0,4,1
jg8785,0,1,0,0,0,0,0,0
jg15088,0,0,0,0,0,0,0,0
35762_g,0,0,0,0,0,0,0,0
jg33780,1328,2642,2396,2020,1402,2762,2606,2651
jg7064,0,0,0,0,0,0,0,0
jg28647,52,108,66,53,48,95,67,115
jg7988,284,318,457,286,92,376,317,292
jg27944,0,0,0,0,0,0,0,0
jg31978,73,79,128,180,154,77,226,155
jg21634,0,0,0,1,0,1,0,2
jg27470,0,0,0,0,0,0,0,0
jg32351,14673,20273,8800,13245,9424,5547,13667,14541
jg17307,0,0,0,1,0,0,0,0
jg19996,0,0,0,0,0,0,0,0
jg10067,37,63,7,27,22,28,9,20
12184_g,0,0,0,0,0,0,0,0
jg32502,0,0,0,0,0,1,0,0
jg21886,2311,4508,3533,4223,3006,2516,5092,4593
jg37508,0,0,0,0,0,0,0,0
jg13674,0,0,0,0,0,0,0,0
jg23781,21,5,9,3,16,5,16,7
jg23060,1851,3731,1373,2433,1546,440,2464,2715
jg25994,0,0,0,0,0,0,0,0
jg14038,2,0,1,4,3,6,1,2
jg22316,0,1,0,7,10,1,5,4
jg11697,405,750,402,532,283,307,565,624
jg28321,7,15,39,30,9,14,20,34
jg32921,0,0,8,4,1,0,11,3
jg16007,0,0,0,0,0,0,0,0
jg26169,5,139,59,86,74,157,16,25
jg32179,0,1,0,5,4,1,13,12
jg18314,113,161,209,113,67,85,201,207
jg10240,0,1,0,0,0,0,0,1
jg13092,123,208,30,45,49,0,63,65
jg7179,774,2128,2415,1585,1865,4667,2149,738
jg6421,0,0,0,0,0,0,0,0
jg18203,226,357,87,82,62,161,187,185
jg7714,0,0,0,0,0,0,0,0
jg12183,17,51,54,32,10,57,22,51
jg17540,199,319,134,227,151,0,277,166
jg32676,1405,2857,1884,1964,1585,1342,2313,3172
jg12971,9,10,4,14,3,7,2,1
jg3069,20175,3253,2052,18,4,63,37,6
jg32876,0,0,0,0,0,0,0,0
jg17099,0,0,0,1,1,0,0,0
jg8623,0,0,0,0,0,0,0,0
jg5668,20659,39891,11216,18933,13690,7,21277,26228
jg10283,61,156,163,270,156,123,169,181
jg23183,316,391,812,516,176,1151,564,832
jg15311,2,18,1,5,8,0,14,3
jg30127,243,530,152,161,339,223,395,127
jg17341,109,1210,113,322,266,56,370,280
jg16302,219,302,11,1,15,5,14,9
jg28548,0,0,0,0,0,0,0,0
jg25675,0,0,0,0,0,5,0,0
jg17114,0,4,3,4,0,1,3,1
jg17306,0,0,0,0,0,0,0,0
jg7739,8,4,4,6,3,16,9,34
jg7038,0,0,0,0,0,0,0,0
26425_g,69,66,93,86,70,186,80,115
jg16116,190,530,452,351,331,695,394,260
jg31724,89,37,74,40,80,52,115,59
jg16266,0,6,0,0,0,0,0,0
jg24113,3,0,36,40,23,1,146,49
jg34421,852,1319,822,883,909,1152,1420,1248
jg21199,11,34,19,12,3,6,21,22
jg18055,6,1,40,12,26,56,25,10
jg14170,10,22,14,15,15,3,14,24
jg806,1,1,5,11,0,0,2,6
jg16854,257,285,223,230,65,64,129,116
jg33539,1768,2687,28,50,4069,406,4150,276
jg25769,117,200,141,118,92,150,155,182
jg11123,7,5,30,24,113,126,353,112
jg19587,0,7,0,24,6,0,20,11
jg25754,128,542,258,350,270,109,260,312
jg29536,72,19,0,10,19,1,1,15
jg20776,0,0,0,0,0,0,0,0
jg26199,8839,10882,178377,155071,25705,104135,29171,183040
jg30844,4,10,3,30,2,0,5,17
jg14142,3,7,0,0,2,4,3,0
jg23371,0,1,1,2,0,2,1,0
jg11795,1,11,20,15,3,16,14,12
jg5417,751,1614,363,633,505,1,703,819
jg16649,21,24,42,36,23,24,37,51
jg15001,0,0,0,0,0,0,0,0
jg4379,0,0,5,0,0,0,3,0
jg34065,1,3,6,36,7,0,14,12
jg36789,403,754,553,839,428,314,681,958
jg2756,225,289,47,40,79,48,103,67
jg7146,6,6,27,6,9,40,25,3
jg7143,0,0,1,0,4,3,1,1
8005_g,0,8,1,2,2,0,0,0
jg34991,1,3,19,0,43,19,37,0
jg11869,8,5,9,4,2,4,3,7
jg22727,1,0,0,0,0,0,0,0
jg32817,67,308,186,100,54,174,209,92
jg21583,6,16,22,22,8,35,14,13
jg24987,40,547,119,200,114,71,255,231
jg20479,0,0,0,0,0,0,0,0
jg16114,9,54,215,153,247,251,309,159
jg7531,168,292,494,365,207,527,316,410
jg27371,130,76,602,558,347,242,252,1050
jg22467,126,112,87,117,63,172,92,116
jg9,0,0,0,0,0,0,0,0
jg11017,15800,25315,17402,14987,12776,19195,20803,26618
jg13672,0,0,0,0,0,0,0,0
jg30632,201,470,16,8,14,0,8,22
jg17247,12,26,7,2,6,9,5,1
jg8154,0,0,0,0,0,0,0,0
jg4350,674,1480,955,937,723,826,1134,1300
jg31371,4,1,0,1,0,0,0,5
jg29368,542,1431,667,1424,753,167,1077,1118
jg35546,0,5,6,0,0,0,3,0
jg5848,3,4,0,0,5,0,2,0
jg2088,0,2,5,4,1,2,17,12
jg15101,32,79,23,31,23,26,23,36
jg12241,0,7,0,0,0,0,1,0
jg26342,14408,26671,9085,14960,8693,9,12658,16211
jg37076,7,16,5,0,0,2,1,1
jg5724,19,72,1,2,0,0,4,1
jg1409,85,176,209,147,115,104,177,277
jg28264,0,0,0,1,0,0,0,0
jg18824,0,0,0,0,0,0,0,0
jg4814,141,174,137,199,85,56,111,112
jg28327,0,0,0,0,0,0,0,0
jg19023,28,144,79,193,163,23,158,244
jg25190,0,0,0,1,1,0,0,0
jg12443,655,1948,850,1837,1445,23,2303,2105
jg4812,0,0,3,7,2,0,7,10
jg36839,0,0,0,1,0,0,0,0
jg6033,7,8,0,1,1,2,0,0
jg10689,0,1,1,0,0,0,0,0
jg24356,0,2,0,0,0,0,8,0
20726_g,0,0,0,0,0,0,0,0
jg28420,0,0,4,1,1,0,4,1
jg12146,3,2,10,5,0,5,0,0
jg28194,78,229,106,212,108,57,176,208
jg21967,291,388,369,492,452,453,1073,536
jg24454,91,136,119,99,53,130,101,88
jg17833,0,0,76,40,0,0,33,15
jg37457,34,24,49,55,16,47,33,41
jg5860,0,0,0,0,0,0,1,0
jg33448,0,0,0,0,0,0,0,0
jg34931,2784,6076,181,173,140,361,419,414
jg19498,0,0,0,1,3,0,0,1
jg34057,110,536,426,884,674,60,910,703
jg20541,0,0,0,0,0,3,0,0
jg15032,0,0,0,0,0,0,0,0
jg5484,0,0,0,0,0,0,0,1
jg29371,0,1,0,2,4,1,0,7
jg8432,72667,104434,80828,89101,123692,86600,94502,27039
jg24723,168,182,462,325,162,468,315,276
jg7917,0,2,0,0,0,0,1,0
27875_g,0,0,0,0,0,0,0,0
jg30523,0,0,0,0,0,0,0,1
jg2912,26,73,200,152,71,239,126,138
jg23906,19,31,58,61,37,68,45,56
jg25014,287,1080,484,819,518,300,683,938
jg589,0,0,0,0,0,0,0,0
jg22403,12,20,6,5,5,2,3,11
jg31944,0,0,0,0,0,0,0,0
jg4804,4,27,1,4,1,0,1,4
jg27120,2,2,0,0,0,0,0,0
jg2974,1,1,5,8,12,11,18,10
jg20290,0,0,0,0,0,0,0,0
jg12978,7,17,0,0,0,0,0,0
jg33456,0,7,0,0,0,0,2,0
jg17151,138,295,260,320,324,496,429,329
jg36680,39,156,5,1,28,6,25,17
jg30899,4,1,5,2,1,12,5,3
jg33810,3,11,5,19,7,1,20,12
jg16684,7,9,1,0,0,0,0,3
jg29241,1,2,6,148,0,0,0,2
jg27607,14,23,159,150,53,26,50,502
jg31324,0,1,1,3,4,3,1,1
jg3250,63,93,28,17,30,28,42,67
jg29104,1091,1153,1289,910,716,1310,1282,1362
jg5958,0,0,0,4,0,0,0,0
jg8150,1423,2702,1386,2129,1594,648,2343,2301
jg5377,41937,69041,19392,28290,23691,16,33516,43345
jg28431,1,6,5,5,2,0,5,0
jg19721,0,6,0,0,0,4,0,1
jg26356,4,0,6,4,10,0,31,5
jg34328,1,0,16,1,0,1,0,0
jg24959,436,2169,276,212,655,809,1522,249
jg1013,7,30,0,1,1,0,0,2
jg7076,0,0,0,0,0,0,0,0
jg15506,0,2,0,0,0,1,0,0
jg15079,0,0,6,0,4,7,1,7
jg1638,0,0,0,0,0,0,0,0
jg24206,1367,1554,3,1,3,1,1,21
jg6641,9,10,6,2,3,5,10,14
jg17515,0,0,4,0,0,0,0,0
jg4004,851,2412,824,1996,1477,42,1939,2139
jg16074,23,26,50,31,17,78,67,52
jg27195,0,3,3,1,3,0,1,0
jg34854,11,52,14,41,38,22,29,93
jg24039,0,3,0,0,0,0,0,0
30184_g,0,0,0,0,0,0,0,3
jg16713,0,0,2,1,1,2,0,5
jg16347,0,0,0,0,0,0,0,0
jg25294,4,16,5,9,5,15,15,7
jg17927,76,138,38,51,41,0,79,75
jg19937,0,0,0,0,0,0,0,0
jg5123,0,0,5,6,1,0,5,2
jg34850,48,16,12,20,12,0,29,15
jg10787,3,8,4,4,3,0,3,1
jg17195,0,0,27,49,0,30,0,4
jg26115,0,0,2,0,2,1,0,0
jg35012,13,15,18,8,12,56,27,32
jg30979,0,0,0,0,1,0,0,1
jg34350,0,2,0,0,2,0,0,0
jg34027,0,0,2,0,0,0,0,0
jg8126,19,139,201,172,57,106,63,427
jg4784,1396,2159,2,3,27,7,32,4
jg1101,0,0,1,127,0,1,77,177
jg10025,27,26,5,9,31,1,6,17
jg23889,92,164,180,164,116,179,203,254
jg16737,6332,7199,7612,7759,9433,10095,9403,9411
jg23610,10,0,1,0,0,1,1,0
jg9309,89900,108481,250346,164323,75364,239581,191433,208698
jg27762,41,120,48,113,80,5,124,116
jg5271,57,53,90,175,104,166,181,95
jg16892,9,90,38,101,103,4,50,131
jg19537,7,47,10,23,25,9,30,27
jg3529,748,2461,1171,1484,1093,432,1873,2267
jg26832,0,0,98,174,46,6,154,89
jg29291,0,0,0,0,0,0,0,0
jg35987,378,597,375,801,571,9,911,882
jg36635,0,0,0,0,0,0,0,0
jg32354,11882,24065,17420,19229,14244,17410,22302,22198
jg26475,3,3,43,87,18,49,54,49
jg9149,0,0,0,0,0,0,0,1
jg12515,2210,4848,1765,3988,2562,130,4069,3426
jg2424,1110,1849,511,787,714,0,869,1051
jg16032,3,24,12,10,5,10,19,17
jg11967,0,0,0,3,0,5,0,0
jg8504,0,1,31,16,34,15,8,4
jg34207,0,0,4,4,6,0,2,0
jg2741,22,13,3,6,2,0,9,21
jg17841,0,0,0,0,1,0,0,0
jg20263,0,0,0,0,0,1,1,0
26833_g,0,0,0,0,0,1,0,0
jg30356,85,202,185,371,160,58,391,372
jg8488,3,8,48,30,103,96,124,162
jg17445,58,185,566,1415,622,35,1278,478
jg18154,0,0,0,0,0,0,0,0
jg5456,0,0,111,44,1,37,3,3
jg32683,56,178,38,116,124,0,163,129
jg6057,0,3,2,5,0,3,2,0
jg26939,0,0,0,2,1,2,0,2
jg30240,686,1411,490,1392,966,1,1553,1175
jg13083,0,17,0,0,0,0,0,0
jg7581,1,0,1,1,2,1,1,11
jg16338,36786,60904,48596,40714,32291,54955,49719,65078
jg19065,0,0,0,2,0,0,0,2
jg5405,0,0,0,0,0,0,0,0
jg311,279,236,305,429,315,158,406,391
jg36636,1662,4541,1327,3307,2222,0,3088,3165
jg23379,65,218,210,291,175,214,282,290
jg35520,2,1,8,0,0,0,10,4
jg28862,11,25,7,7,18,7,35,24
jg30719,7,19,5,19,8,0,4,11
jg8779,400,297,721,494,457,511,587,163
jg11284,14,40,9,4,0,1,6,4
jg1267,5,38,2,3,1,6,1,0
jg4098,3,3,0,0,1,0,0,0
jg19720,26,66,17,23,12,3,41,37
jg31233,0,0,0,0,0,2,0,0
jg6856,0,0,0,1,0,1,0,0
jg9086,16,26,12,0,0,2,1,0
jg6738,1,0,0,0,0,0,0,1
jg22932,0,0,0,0,0,0,0,0
jg36929,5,11,16,19,17,13,37,30
jg12040,6,7,19,15,24,5,4,12
jg7271,9,21,1,0,1,1,2,2
jg1674,335,825,983,892,676,1054,1023,721
jg18,0,0,0,0,0,0,0,0
jg2425,21,28,7,17,15,0,15,23
jg33683,1880,3228,2433,2435,2011,1825,3540,2595
jg34458,1104,1230,572,674,619,1230,770,1491
jg25901,30,23,184,121,35,45,60,130
jg28686,26,117,37,116,58,11,92,84
jg33674,1279,3254,1802,3261,2230,528,3171,2891
jg13391,0,0,0,0,0,0,0,0
jg5745,7,13,0,0,0,0,0,0
jg24988,0,0,0,0,0,0,0,0
jg25640,4992,6871,3,22,25,3,41,9
jg9045,12,3,6,7,0,7,2,1
jg28963,2,11,17,16,15,1,22,29
jg931,0,0,28,23,18,41,33,16
jg8961,1,0,0,0,0,0,0,0
jg16034,1,2,0,0,5,1,1,1
jg31691,0,1,0,0,0,0,1,3
jg23932,0,0,4,3,5,13,9,11
jg34209,24,53,7,15,13,41,13,52
jg26090,1523,1685,1412,1562,1049,1274,1867,1651
jg18295,6,1,0,0,0,4,3,4
jg31007,6,1,4,7,2,3,4,5
jg15643,416,1000,852,1047,595,511,1065,1060
jg16173,0,0,0,0,0,0,0,0
jg2180,1091,2431,2034,2058,1464,2072,2410,2425
jg26983,38,6,0,0,2,0,0,0
jg12899,436,1035,412,706,460,258,713,766
jg17991,0,0,0,0,0,0,0,0
jg21860,0,8,3,0,1,0,6,4
jg22519,3,9,3,11,3,16,1,0
jg33837,0,0,0,0,0,0,0,0
jg1981,90,81,62,135,150,2,174,129
jg24594,0,0,0,0,0,0,0,0
jg35836,6,0,6,9,2,5,4,12
jg6625,521,1108,759,751,570,672,900,1089
jg31055,0,3,6,7,0,1,2,0
jg29504,0,1,0,0,0,3,0,0
jg1952,769,1846,1730,2623,1530,378,2201,2264
jg25012,261,737,341,627,384,75,531,449
jg1840,0,0,1,0,0,0,0,1
jg8481,2,8,0,0,0,0,0,0
jg11926,0,5,5,2,1,2,1,3
jg35462,2,18,6,4,6,5,0,3
jg2206,548,935,545,853,592,167,889,877
jg4164,30,55,123,97,66,119,109,107
jg11229,215,551,186,197,136,112,167,239
jg7995,84,68,113,75,24,69,72,55
jg8551,57,112,34,53,47,11,52,32
jg8862,87,90,91,94,80,101,165,112
jg7638,71,159,315,261,94,242,150,133
jg6390,0,0,0,0,1,0,0,0
jg872,88,112,140,95,44,120,78,103
jg32576,0,6,2,0,3,1,8,0
jg20771,0,0,0,0,0,0,0,1
jg28829,414,832,606,688,469,459,773,769
9457_g,0,0,0,0,0,0,0,0
jg11741,165,569,108,16,168,1,116,107
jg707,0,7,10,10,6,0,9,7
jg23374,124,261,108,118,89,269,82,113
jg6012,57,63,209,229,65,83,119,64
jg37338,0,0,1,0,0,0,0,0
jg25062,7,43,1,0,276,931,50,4
jg37428,0,0,0,0,0,0,0,0
jg8967,0,0,0,0,0,2,2,0
jg15525,0,0,0,0,0,0,0,0
jg4625,75,50,65,20,21,39,66,55
jg21594,756,1737,3877,3165,3232,6945,6190,4541
jg32343,0,4,0,1,0,7,4,6
jg15497,0,0,2,11,12,0,1,5
jg25147,5,65,12,30,5,8,8,8
jg6483,679,2160,2223,1181,1542,1365,1522,941
jg36883,0,0,3,0,0,0,0,0
jg1059,0,0,0,0,0,0,0,0
jg4870,1216,2827,1876,1622,638,359,1822,1607
jg18493,0,1,6,3,1,5,6,1
jg15244,17,6,23,14,17,16,35,28
jg18036,0,0,0,1,1,0,0,0
jg19162,0,1,3,16,19,0,14,15
jg5382,127858,244551,59821,108798,73409,47,107644,126282
jg5655,0,0,0,0,0,0,0,0
jg26017,0,0,1,0,0,0,2,1
jg2811,189,237,152,175,79,87,67,169
jg19160,0,0,0,0,0,0,0,0
jg116,0,0,0,0,1,0,0,0
jg690,179,189,54,146,102,47,99,143
jg27517,9,7,13,13,2,14,6,18
jg16566,33,142,40,73,53,19,90,72
jg573,0,0,1,3,2,2,8,1
jg11042,0,0,0,0,0,0,0,0
jg174,0,0,1,0,0,1,0,0
jg32461,2,20,2,1,0,1,2,1
30102_g,0,0,0,0,0,0,0,0
jg25424,16908,40834,581,61,11,127,88,842
jg5489,0,8,8,12,8,25,1,21
jg3187,0,0,0,0,0,0,0,0
jg37450,11,26,4,8,4,2,7,17
jg11415,172,564,164,265,184,75,232,276
jg24059,0,3,0,0,0,1,6,1
jg23793,82,92,354,515,273,282,527,564
jg7798,6,3,1,3,2,0,8,2
