Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene129	1651	675	783	1556	1070	347	1810	1841
gbgene130	72	82	425	211	60	243	152	338
gbgene131	279	1271	3656	587	61	291	250	769
gbgene132	471	326	26	55	109	36	165	64
gbgene133	10813	5900	2968	4949	3590	4	5927	6524
gbgene134	590	1378	7602	13631	3158	19286	6780	4576
gbgene135	8977	7742	35105	55704	28083	84941	46502	34721
gbgene136	109	54	185	65	22	104	85	109
gbgene137	13326	7633	3706	7164	6256	229	9246	9331
gbgene138	2	0	2	5	1	0	10	1
gbgene139	304	131	212	205	197	144	412	367
gbgene140	1	0	0	2	0	0	2	0
gbgene141	16329	10341	5212	8546	8240	5	11877	12919
gbgene142	7969	4351	7275	5976	5086	7427	7569	9230
gbgene143	3	3	3	7	0	7	3	0
gbgene144	2	2	2	0	0	6	0	1
gbgene145	220	164	333	294	191	607	383	237
gbgene146	1693	792	904	1350	766	186	1422	1378
gbgene147	529	278	361	346	320	374	451	491
gbgene148	263	72	142	214	171	27	295	225
gbgene149	5	2	3	4	4	2	1	7
gbgene150	321	233	368	328	180	265	480	413
gbgene151	55	16	20	20	18	45	12	24
gbgene152	0	0	2	5	0	0	4	1
gbgene153	4	5	21	14	4	10	10	4
gbgene154	36200	16740	9145	14615	11607	10	18771	21185
gbgene155	32	4	2	2	6	1	9	16
gbgene156	2741	1556	1071	2476	1521	317	2438	2308
gbgene157	6393	2398	1811	5568	3689	314	4889	4730
gbgene158	721	327	788	888	452	346	970	946
gbgene159	2645	1357	2398	2876	2372	1981	3326	3731
gbgene160	10849	5128	7844	9746	5765	5852	9452	8785
gbgene161	620	258	340	395	311	291	431	476
gbgene162	106	41	169	95	37	130	129	108
gbgene163	160	49	53	156	73	4	131	105
gbgene164	215	45	115	145	683	12	231	1172
gbgene165	436	270	268	344	238	100	544	463
gbgene166	10264	8108	5649	7833	2479	3	8265	8299
gbgene167	5	13	2	12	3	3	14	7
gbgene168	11	13	18	18	9	8	27	24
gbgene169	0	0	0	0	0	0	0	0
gbgene170	10	3	2	8	10	14	39	7
gbgene171	13	2	1	1	14	20	53	9
gbgene172	117	149	116	105	72	45	161	125
gbgene173	398	261	275	250	183	401	353	393
gbgene174	15	9	13	25	5	16	15	25
gbgene175	0	0	0	0	3	0	1	0
gbgene176	5595	2393	1910	4688	3519	51	4908	4697
gbgene177	2576	939	1450	2159	1558	1539	1933	1955
gbgene178	298	319	352	268	164	180	438	467
gbgene179	152	47	22	80	107	90	23	111
gbgene180	42	7	14	40	14	21	42	33
gbgene181	8180	3911	2113	3849	3124	235	5246	5333
