Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene2917	0	0	0	0	0	0	0	0
gbgene2916	370	302	1318	947	504	2872	855	256
gbgene2918	95	135	133	90	73	185	107	87
gbgene2919	2989	2811	13866	11050	5660	14794	6478	5389
gbgene2920	3	0	6	18	16	9	10	21
gbgene2921	680	845	3044	2186	1389	4103	2440	1171
gbgene2922	212	120	313	575	363	693	623	367
gbgene2923	564	387	2074	1965	1220	2042	2110	1891
gbgene2924	323	133	3116	2323	757	3047	1567	1954
gbgene2925	1216	549	290	477	411	25	432	691
gbgene2926	2647	1440	3487	2998	1796	2365	2941	3483
gbgene2927	1606	763	1223	2142	2083	274	2196	2697
gbgene2928	15681	6048	5174	10584	6774	33	10081	12051
gbgene2929	4577	3853	108	112	2141	295	2805	162
gbgene2930	0	0	0	0	0	0	0	0
gbgene2931	866	278	343	594	343	329	469	611
gbgene2932	566	245	487	953	572	108	922	991
gbgene2933	4701	2941	1894	2800	2520	475	3917	4603
gbgene2934	1587	754	816	1122	695	776	1142	1611
gbgene2935	760	480	802	939	609	314	1023	1120
gbgene2936	35	35	122	89	33	32	121	109
gbgene2937	1	0	0	0	0	0	0	0
gbgene2938	419	263	306	313	378	80	370	534
gbgene2939	141	139	182	193	103	96	223	255
gbgene2940	42171	22328	10159	17978	15166	12	21973	26221
gbgene2941	376509	171329	160	346	238	146	359	191
gbgene2942	1866	1061	1141	1071	824	990	1363	1319
gbgene2943	835	427	1559	1120	820	1972	1218	457
gbgene2944	284	169	63	204	165	0	191	207
gbgene2945	314	143	521	463	296	375	429	599
gbgene2946	197	91	192	166	83	202	193	193
gbgene2947	1392	836	5187	4994	2751	3996	3851	5752
gbgene2948	99	3	37	33	21	23	90	38
gbgene2949	3401	2247	3006	2648	2451	3617	3468	2745
gbgene2950	168	146	260	356	140	237	305	209
gbgene2951	1609	1088	3361	3539	3017	4884	4047	3792
gbgene2952	10	33	2	3	0	2	1	4
gbgene2953	4	23	1	2	0	0	6	0
gbgene2954	734	327	1906	1075	665	762	1273	863
gbgene2955	449	194	221	251	214	79	298	391
gbgene2956	863	710	1158	567	326	815	756	732
gbgene2957	1730	605	660	1190	776	157	1551	1334
gbgene2958	0	0	0	0	2	0	0	0
gbgene2959	42904	28093	9433	20167	17738	12	25366	25849
gbgene2960	59685	37456	16260	30372	24874	10	35645	38290
gbgene2961	718	591	1095	701	417	755	849	883
gbgene2962	115	77	176	178	128	81	220	249
gbgene2963	4064	2015	2218	3624	2516	1354	4089	3369
gbgene2964	1	0	0	0	0	0	0	0
gbgene2965	468	280	426	349	276	355	484	426
gbgene2966	169	94	69	167	108	142	121	127
gbgene2967	133	55	55	104	64	55	81	99
gbgene2968	43	33	89	50	72	63	56	84
gbgene2969	102	63	161	133	78	127	137	200
gbgene2970	1160	787	756	573	563	671	808	1318
gbgene2971	663	342	382	633	538	421	546	618
gbgene2972	75	85	172	147	55	120	136	130
gbgene2973	0	0	2	0	0	0	0	0
gbgene2974	150	106	12	14	256	8	209	7
gbgene2975	86	26	27	8	44	3	166	29
gbgene2976	34	5	16	29	1	2	25	12
gbgene2977	118	130	156	240	105	243	122	124
gbgene2978	364	140	238	332	392	955	367	432
gbgene2979	16	15	11	227	12	30	153	9
gbgene2980	39	50	0	144	16	46	34	8
gbgene2981	9	3	19	34	12	1	14	31
gbgene2982	132	93	181	102	45	140	100	126
gbgene2983	39169	23820	47088	54564	39368	108232	48520	32708
gbgene2984	10	4	181	121	5	87	6	42
gbgene2985	9	1	13	6	15	1	16	20
gbgene2986	0	0	11	20	3	0	8	6
gbgene2987	0	0	0	0	0	0	0	0
gbgene2988	2859	537	1853	579	622	594	1672	2309
gbgene2989	103	26	82	25	22	15	106	94
gbgene2990	23	32	25	7	12	11	24	15
gbgene2991	31	7	9	8	5	2	6	11
gbgene2992	0	0	0	0	0	0	0	0
gbgene2993	0	0	0	23	16	0	0	0
gbgene2994	982	863	416	606	3308	62	2419	575
gbgene2995	110	62	670	409	431	401	394	627
gbgene2996	195	132	119	145	103	102	132	204
gbgene2997	0	0	0	16	6	9	0	0
gbgene2998	39	16	15	13	12	5	38	42
gbgene2999	1891	1319	888	1451	1061	379	1568	1532
gbgene3000	528	282	121	199	217	93	280	213
gbgene3001	3008	1318	1253	2101	1587	547	2463	2435
gbgene3002	277	222	246	367	213	254	405	292
gbgene3003	843	326	387	758	493	231	835	799
gbgene3004	452	128	163	79	55	139	170	131
gbgene3005	4043	1662	4499	3516	1863	3563	4014	4814
gbgene3006	301971	280934	963151	678400	463776	802341	729080	133768
gbgene3007	472	153	96	225	129	183	260	124
gbgene3008	1027	261	1039	1208	291	1337	2120	1010
gbgene3009	724	403	150	146	368	440	774	256
gbgene3010	0	0	0	0	1	1	0	0
gbgene3011	30	10	30	83	39	10	98	84
gbgene3012	0	0	5	15	2	17	5	9
gbgene3013	168	85	858	743	550	673	937	855
gbgene3014	1078	610	2258	2370	1140	3934	2554	2533
gbgene3015	359	341	136	68	223	423	338	338
gbgene3016	143	42	188	105	138	82	231	243
gbgene3017	16	7	59	56	61	27	95	58
gbgene3018	23	3	35	36	25	15	38	18
gbgene3019	1052	861	339	787	653	5	815	924
gbgene3020	4443	1759	2503	3055	2378	2070	3623	3733
gbgene3021	360	110	253	254	161	170	242	313
gbgene3022	3854	2057	2777	3078	2210	1852	3546	3641
gbgene3023	507	268	680	596	363	475	548	775
gbgene3024	15135	8691	116	456	284	646	317	458
gbgene3025	326	79	50	402	168	6	247	246
gbgene3026	994	766	398	473	486	388	682	765
gbgene3027	934	555	1364	1359	864	2164	1150	880
gbgene3028	5	21	8	6	3	0	5	6
gbgene3029	376	334	15259	9026	1545	4835	1940	8496
gbgene3030	5175	2949	119	152	134	103	103	121
gbgene3031	4633	2283	168	279	248	71	197	205
gbgene3032	984	476	892	981	565	550	917	1104
gbgene3033	3	2	0	0	6	0	1	0
gbgene3034	17112	8851	5207	9168	6046	4	9126	9846
gbgene3035	0	2	0	0	0	0	1	0
gbgene3036	12	1	11	13	3	25	11	15
gbgene3037	3	2	3	4	0	2	11	3
gbgene3038	830	391	590	595	630	671	617	862
gbgene3039	1414	675	885	1144	903	972	1530	1723
gbgene3040	48	74	146	137	83	77	110	105
gbgene3041	37	31	17	89	65	14	254	86
gbgene3042	31	22	8	21	13	1	40	22
gbgene3043	8	5	26	2	1	7	14	3
gbgene3044	217	38	41	96	68	4	127	88
gbgene3045	8735	5222	2071	3256	3008	3	4816	5204
gbgene3046	597	259	410	577	695	41	955	990
gbgene3047	97	24	17	35	23	26	38	36
gbgene3048	154	83	423	296	150	332	249	389
gbgene3049	177	122	0	1	41	15	76	30
gbgene3050	15	9	29	14	12	5	19	17
gbgene3051	0	0	1	1	0	2	2	0
gbgene3052	75	41	55	66	47	0	212	61
gbgene3053	34	17	64	17	14	29	78	62
gbgene3054	29	9	9	12	4	291	15	122
gbgene3055	124	90	20	65	52	67	306	42
gbgene3056	3	20	80	214	82	26	159	241
gbgene3057	8	8	6	3	0	3	0	0
gbgene3058	730	306	605	1273	1153	0	1620	1876
gbgene3059	0	0	0	0	0	0	0	0
gbgene3060	159	72	57	66	20	20	44	40
gbgene3061	40	31	15	6	6	1	12	10
gbgene3062	0	0	0	0	0	0	0	0
gbgene3063	477	349	240	193	194	392	358	387
gbgene3064	19975	10552	7513	12796	7885	1709	12914	14727
gbgene3065	1190	461	846	1225	1117	240	1681	1488
gbgene3066	261	80	120	239	273	71	284	422
gbgene3067	2120	1607	270	106	2059	807	1928	376
gbgene3068	157	92	20	20	141	75	112	30
gbgene3069	1052	313	336	388	190	124	194	505
gbgene3070	148	56	673	493	106	299	168	429
gbgene3071	13	11	40	11	9	60	14	34
gbgene3072	703	334	360	526	396	169	620	522
gbgene3073	486	277	38	202	180	4	305	212
gbgene3074	13283	6659	4627	9897	7123	111	10816	12039
gbgene3075	5061	2621	2105	3646	2584	1354	4123	3988
gbgene3076	11	6	3	7	7	6	6	8
gbgene3077	0	0	0	0	0	0	0	0
gbgene3078	268	218	1	4	1	1	189	2
gbgene3079	12779	11113	5573	10594	9056	5	12020	13787
gbgene3080	33	26	0	6	9	3	24	3
gbgene3081	0	0	0	0	1	0	0	0
gbgene3082	0	0	0	3	2	0	2	0
gbgene3083	224	124	124	50	43	50	36	135
gbgene3084	7	4	26	46	24	2	20	14
gbgene3085	85	95	31	8	62	54	43	17
gbgene3086	1	3	0	0	0	0	0	2
gbgene3087	23	8	0	0	0	0	0	0
gbgene3088	94	51	38	220	287	57	149	490
gbgene3089	4	3	0	0	2	0	2	1
gbgene3090	0	0	0	0	0	0	0	0
gbgene3091	70	1097	60	21	613	13	7	5
gbgene3092	122	51	46	39	27	77	37	49
gbgene3093	3716	1557	670	1711	926	3	1776	2562
gbgene3094	957	563	1013	976	694	1122	1165	1127
gbgene3095	155	290	212	437	273	164	462	509
gbgene3096	6800	2446	3079	5574	4238	974	5965	6000
gbgene3097	295	162	121	151	165	132	177	179
gbgene3098	915	361	148	308	390	20	469	469
gbgene3099	2868	1029	312	235	58	265	379	385
gbgene3100	726	388	1463	1438	500	1074	1524	2146
gbgene3101	271	89	96	224	109	30	216	246
gbgene3102	1363	406	686	958	661	318	1173	1412
gbgene3103	61	17	37	81	45	11	44	47
gbgene3104	320	93	664	498	200	260	220	610
gbgene3105	515	234	538	478	355	412	592	667
gbgene3106	105	62	162	111	77	116	138	150
gbgene3107	2	0	2	0	0	2	1	2
gbgene3108	2225	1282	932	1590	1111	371	1571	1677
gbgene3109	69	22	37	59	30	8	45	62
gbgene3110	328	159	174	311	149	42	250	267
gbgene3111	0	0	0	0	0	0	0	0
gbgene3112	0	0	0	0	0	0	1	0
gbgene3113	3	8	26	18	13	11	17	14
gbgene3114	0	0	1	0	0	0	0	0
gbgene3115	2776	1085	845	1074	2364	781	1833	937
gbgene3116	0	0	0	0	0	0	0	2
gbgene3117	238	209	317	246	203	155	402	391
gbgene3118	41	29	80	71	49	92	56	41
gbgene3119	0	9	3	26	36	2	48	49
gbgene3120	24	33	28	23	12	24	27	39
gbgene3121	370	304	518	401	160	358	425	413
gbgene3122	0	0	0	0	0	0	0	0
gbgene3123	1	0	0	1	0	0	0	0
gbgene3124	0	0	0	0	0	0	0	0
gbgene3125	83	114	106	92	50	59	77	69
gbgene3126	11219	6634	3159	5383	4098	2	6180	6373
gbgene3127	18	39	47	45	38	12	36	52
gbgene3128	600	336	272	481	320	94	449	494
gbgene3129	6	5	4	0	1	20	0	6
gbgene3130	1741	562	32	20	830	788	1624	219
gbgene3131	0	0	0	0	0	0	0	0
gbgene3132	2	0	0	0	0	0	5	0
gbgene3133	64	26	239	365	169	166	105	105
gbgene3134	14	1	2	1	2	1	0	0
gbgene3135	22	7	456	571	100	849	255	149
gbgene3136	259	30	1277	1225	594	1334	1167	841
gbgene3137	687	525	2613	2496	2176	2790	2007	1411
gbgene3138	0	1	3	0	2	2	3	2
gbgene3139	0	0	0	0	0	0	0	0
gbgene3140	1180	538	1375	1356	2489	1116	3079	1392
gbgene3141	162	192	156	200	259	614	249	176
gbgene3142	303	110	32	102	322	1024	214	111
gbgene3143	98	28	9	36	42	87	14	11
gbgene3144	242	81	86	76	94	33	189	168
gbgene3145	111	137	42	74	42	75	93	97
gbgene3146	559	322	268	467	395	39	538	501
gbgene3147	120	54	87	100	75	106	129	122
gbgene3148	1939	832	648	1004	1034	1003	2025	1279
gbgene3149	4101	2906	4180	3456	3792	4131	5513	5223
gbgene3150	126	27	67	73	49	129	74	53
gbgene3151	1045	451	403	698	561	86	1013	1007
gbgene3152	622	462	389	352	373	433	597	480
gbgene3153	0	0	0	1	0	2	0	1
gbgene3154	1225	691	283	484	369	3	574	617
gbgene3155	1600	793	859	1604	1027	398	1654	1485
gbgene3156	3217	1430	2698	3683	2461	786	3397	4310
gbgene3157	142	47	51	53	56	91	120	68
gbgene3158	689	381	645	919	560	412	713	815
gbgene3159	5	7	6	0	1	2	6	12
gbgene3160	0	0	0	0	0	1	8	1
gbgene3161	5	6	2	3	0	0	0	1
gbgene3162	0	3	1	1	1	0	2	4
gbgene3163	0	0	0	0	0	0	0	0
gbgene3164	28	5	65	67	57	30	66	93
gbgene3165	1515	630	1101	1263	911	1323	1316	1482
gbgene3166	145	111	418	548	187	524	249	546
gbgene3167	92	69	450	564	197	516	316	693
gbgene3168	65	44	251	155	90	118	147	206
gbgene3169	82	40	264	250	108	372	148	195
gbgene3170	342	341	416	251	150	417	299	335
gbgene3171	8	0	3	16	19	1	14	20
gbgene3172	18	12	4	18	5	0	16	23
gbgene3173	2401	1579	2871	2935	2364	3314	3861	3800
gbgene3174	30	18	13	16	9	14	15	27
gbgene3175	0	1	0	0	0	1	0	0
gbgene3176	0	15	1	1	0	0	2	1
gbgene3177	153	114	78	14	60	6	151	135
gbgene3178	17212	11192	6270	11285	10686	7	15997	15842
gbgene3179	1037	547	1702	1670	1562	2371	1858	1321
gbgene3180	63	42	344	121	126	373	122	357
gbgene3181	3	32	53	5	11	40	43	27
gbgene3182	34	37	9	4	8	5	11	15
gbgene3183	190	24	74	35	12	50	26	54
gbgene3184	203	31	122	145	171	23	285	400
gbgene3185	0	0	0	0	0	0	0	0
gbgene3186	2	0	127	3	1	6	3	0
gbgene3187	0	0	0	0	0	0	0	0
gbgene3188	3	0	61	180	255	0	234	210
gbgene3189	3133	5084	2018	3905	3536	1	5579	5710
gbgene3190	23	219	0	17	18	2	5	4
gbgene3191	49	294	41	14	132	25	86	8
gbgene3192	85	11	35	29	14	11	12	22
gbgene3193	12595	6525	6145	7761	5790	3911	8905	10250
gbgene3194	253	136	268	345	177	235	236	284
gbgene3195	12880	5413	11653	11082	7721	9458	7552	11072
gbgene3196	7737	4076	4169	6958	4888	1331	7475	7445
gbgene3197	77	28	46	99	80	11	114	106
gbgene3198	120	85	267	88	76	221	150	185
gbgene3199	23	19	155	9	10	7	29	19
gbgene3200	1077	531	392	618	537	110	745	745
gbgene3201	0	1	0	7	21	2	9	0
gbgene3202	0	1	17	16	46	11	4	54
gbgene3203	31	0	40	33	26	5	70	81
gbgene3204	1	0	0	0	0	0	0	0
gbgene3205	34	29	59	68	44	46	68	80
gbgene3206	23	26	65	51	21	36	45	45
gbgene3207	0	0	0	0	0	0	0	0
gbgene3208	3	7	13	23	2	2	1	3
gbgene3209	0	0	1	1	0	1	0	0
gbgene3210	0	1	1	6	3	1	2	0
gbgene3211	0	0	0	0	0	0	0	0
gbgene3212	0	0	0	0	0	0	0	0
gbgene3213	48	105	51	88	32	24	30	34
gbgene3214	1153	1091	1289	910	716	1310	1282	1362
gbgene3215	2340	1281	1027	1825	1320	260	1937	1931
gbgene3216	52	172	149	236	300	2	486	519
gbgene3217	2392	839	1065	2076	1452	347	2166	2181
gbgene3218	655	237	315	334	242	166	304	364
gbgene3219	620	405	380	348	241	337	367	317
gbgene3220	1231	721	1852	1077	952	1285	1965	1383
gbgene3221	450	241	361	304	382	403	476	412
gbgene3222	1827	588	917	1307	1071	595	1607	1741
gbgene3223	1151	600	538	629	581	523	819	1000
gbgene3224	1854	1308	1844	1910	1386	1621	2174	2298
gbgene3225	781	333	541	866	734	118	1070	1133
gbgene3226	167	96	105	246	177	16	254	225
gbgene3227	3	2	2	0	0	0	0	0
gbgene3228	446	256	416	802	658	62	930	764
gbgene3229	53	18	102	154	146	17	156	154
gbgene3230	4	2	4	6	1	3	2	4
gbgene3231	0	0	0	0	0	0	0	0
gbgene3232	134	43	20	145	50	8	108	86
gbgene3233	236	51	66	92	103	8	140	174
gbgene3234	31	23	38	76	14	26	36	30
gbgene3235	2265	1309	2544	2662	1812	843	3117	2876
gbgene3236	5615	3124	3695	3727	4032	8045	6251	7546
gbgene3237	477	192	190	249	177	43	307	394
gbgene3238	0	0	0	0	0	0	0	0
gbgene3239	2498	1327	1037	1448	1104	282	2110	2041
gbgene3240	4923	3096	3384	2772	2931	4006	4183	3811
gbgene3241	228	141	460	330	107	204	192	409
gbgene3242	22	38	71	108	39	29	70	59
gbgene3243	26	0	0	8	4	0	1	3
gbgene3244	1	0	0	0	0	0	3	0
gbgene3245	109	81	101	107	18	104	67	117
gbgene3246	114930	66668	25223	41247	39126	22	59768	60059
gbgene3247	8154	4345	2214	2955	2471	1	4929	5936
gbgene3248	20	0	2	0	0	0	0	0
gbgene3249	793	365	403	653	448	97	620	546
gbgene3250	2518	1469	1027	1258	1357	1760	1713	1786
gbgene3251	0	0	0	0	0	0	0	0
gbgene3252	2	0	0	5	13	0	6	2
gbgene3253	0	0	0	0	0	2	0	1
gbgene3254	1	1	1	1	5	19	2	6
gbgene3255	0	0	0	0	0	0	4	0
gbgene3256	1	0	4	2	1	0	0	5
gbgene3257	0	0	0	0	0	0	0	0
gbgene3258	463	481	560	274	186	272	347	439
gbgene3259	10	0	7	1	0	0	0	0
gbgene3260	1818	324	535	445	479	116	1539	1091
gbgene3261	198	34	45	66	44	21	68	40
gbgene3262	4030	3422	86	60	4539	2271	5397	2068
gbgene3263	2	1	0	0	0	0	0	0
gbgene3264	193	93	93	112	136	16	200	189
gbgene3265	344	189	136	263	233	28	291	278
gbgene3266	158	94	124	138	101	165	159	157
gbgene3267	515	210	242	647	238	115	469	358
gbgene3268	3179	4120	1563	2512	2044	1	4065	3735
gbgene3269	11352	6495	3131	7440	4741	6	6494	8650
gbgene3270	200	181	77	294	191	0	300	362
gbgene3271	0	0	0	0	0	0	0	0
gbgene3272	1107	1044	903	761	682	665	881	681
gbgene3273	807	500	3703	3258	1959	3780	4200	2869
gbgene3274	55	34	28	31	13	25	55	32
gbgene3275	5	0	0	1	1	0	0	1
gbgene3276	218	245	564	494	216	237	412	442
gbgene3277	2010	921	778	1665	1322	0	2004	1724
gbgene3278	1	0	1	0	0	1	4	7
gbgene3279	114	73	153	157	115	27	215	260
gbgene3280	0	0	0	0	0	0	0	2
gbgene3281	72	11	5	99	86	1	28	29
gbgene3282	35	25	132	47	35	41	30	90
gbgene3283	1384	1041	1203	889	414	1280	842	1328
gbgene3284	126	145	85	91	66	147	82	72
gbgene3285	4	8	9	9	3	8	7	2
gbgene3286	11	14	4	3	0	8	7	4
gbgene3287	15047	5704	4037	5044	5591	15	8504	8877
gbgene3288	78074	45667	18682	32530	27496	11	36884	38969
gbgene3289	448	172	292	285	215	378	344	339
gbgene3290	2210	822	1129	1995	1310	278	2280	1977
gbgene3291	2	1	6	148	0	0	0	2
gbgene3292	427	116	407	211	85	212	152	144
gbgene3293	205	53	143	91	105	116	108	73
gbgene3294	8378	4804	5840	7947	4639	2978	5713	6650
gbgene3295	4200	1776	1228	2282	2894	3	2874	3598
gbgene3296	3729	1482	957	2399	1524	203	2168	2114
gbgene3297	372	209	269	277	284	271	303	417
gbgene3298	794	726	1332	1668	1417	343	2123	2266
gbgene3299	2579	1498	930	1664	1416	152	2157	2223
gbgene3300	32	14	0	0	7	13	0	2
gbgene3301	102	128	26	9	6	110	25	38
gbgene3302	5	1	0	2	1	4	16	0
gbgene3303	0	0	0	0	0	0	0	0
gbgene3304	0	0	0	0	0	0	0	0
gbgene3305	2	1	0	0	0	0	0	0
gbgene3306	142	47	133	127	54	237	117	44
gbgene3307	41	12	23	9	11	21	28	38
gbgene3308	10	11	6	3	11	14	7	12
gbgene3309	252	67	31	62	59	122	130	10
gbgene3310	1535	1050	3	18	135	9	113	37
gbgene3311	12	10	23	6	22	10	21	63
gbgene3312	7	5	28	11	5	18	8	11
gbgene3313	6	5	23	11	4	30	10	3
gbgene3314	1	1	27	20	9	19	29	8
gbgene3315	0	7	8	5	7	16	3	2
gbgene3316	0	0	0	0	0	0	0	0
gbgene3317	509	332	1329	933	3096	2454	3251	1547
gbgene3318	17	3	263	541	7	1	1	31
gbgene3319	4	15	3	0	23	2	8	0
gbgene3320	281	237	201	228	207	165	262	267
gbgene3321	269	162	69	189	111	20	211	212
gbgene3322	209	177	193	181	83	60	168	250
gbgene3323	3890	1794	1579	3253	2245	288	3061	3425
gbgene3324	2623	1160	1503	2767	1262	132	3075	2322
gbgene3325	9927	5019	4439	6866	5310	3084	9066	8176
gbgene3326	408	372	1354	1370	763	2443	1511	1135
gbgene3327	4	1	1	2	9	2	10	18
gbgene3328	6	20	2	3	6	21	5	96
gbgene3329	0	0	0	0	0	0	0	0
gbgene3330	0	0	0	1	0	0	0	0
gbgene3331	0	0	0	0	0	0	0	0
gbgene3332	190	133	253	147	37	124	75	136
gbgene3333	0	1	0	3	0	0	0	0
gbgene3334	0	0	0	0	0	1	1	0
gbgene3335	592	378	1238	1512	477	344	1221	1090
gbgene3336	1	1	5	0	2	2	1	2
gbgene3337	730	532	731	622	411	571	709	711
gbgene3338	114	23	38	26	47	86	50	49
gbgene3339	18	5	48	34	53	60	77	44
gbgene3340	175	70	58	123	56	0	77	122
gbgene3341	86	9	11	25	70	0	16	24
gbgene3342	963	462	346	673	473	175	681	660
gbgene3343	143	31	103	152	196	46	187	194
gbgene3344	281	114	256	195	158	203	210	262
gbgene3345	1725	1153	555	781	784	123	1002	1050
gbgene3346	121	94	54	49	114	67	87	85
gbgene3347	0	0	0	0	0	0	0	0
gbgene3348	170	115	98	83	65	88	109	85
gbgene3349	0	0	0	0	0	0	0	0
gbgene3350	13	11	31	26	44	65	56	11
gbgene3351	86	99	141	82	146	237	164	60
gbgene3352	8	10	1	1	0	0	0	0
gbgene3353	260	157	279	413	289	282	373	553
gbgene3354	3565	1657	1198	2086	1427	349	2363	2412
gbgene3355	37	2	124	73	88	61	140	84
gbgene3356	1293	288	304	491	444	137	610	484
gbgene3357	1210	109	113	322	266	56	370	280
gbgene3358	616	255	281	529	389	42	594	593
gbgene3359	745	721	713	1033	920	506	1020	1045
gbgene3360	124	114	178	125	142	138	160	143
gbgene3361	848	465	403	657	448	95	759	785
gbgene3362	0	0	1	0	0	3	4	0
gbgene3363	1039	585	609	505	387	528	524	703
gbgene3364	0	2	6	0	2	6	1	7
gbgene3365	159	56	63	114	79	39	97	82
gbgene3366	115	67	185	170	66	128	125	148
gbgene3367	30	15	52	40	28	49	40	40
gbgene3368	1	3	0	0	0	0	1	1
gbgene3369	6	3	0	2	2	7	1	3
gbgene3370	10	1	6	7	1	12	4	6
gbgene3371	28	18	16	15	48	13	47	14
gbgene3372	55	40	66	43	46	65	64	48
gbgene3373	82	57	33	42	37	59	63	52
gbgene3374	0	0	0	0	0	0	0	0
gbgene3375	101	51	65	115	94	85	108	111
gbgene3376	194	75	79	179	124	53	172	245
gbgene3377	55	11	28	43	29	14	40	67
gbgene3378	283	133	265	236	174	323	308	421
gbgene3379	359	136	379	506	272	235	525	501
gbgene3380	732	424	489	410	469	684	765	575
gbgene3381	222	50	141	196	102	58	157	176
gbgene3382	76	14	241	165	67	145	76	125
gbgene3383	65683	39807	11345	19818	24567	12	33046	30739
gbgene3384	1	0	0	0	0	0	0	0
gbgene3385	0	0	2	0	0	0	0	0
gbgene3386	2357	791	1221	1746	1730	523	2834	2779
gbgene3387	1387	451	900	1578	992	546	1505	1243
gbgene3388	5692	2538	2872	4868	3173	1026	5137	4865
gbgene3389	625	356	492	393	267	594	508	547
gbgene3390	1781	804	1511	1764	1406	1352	1898	2046
gbgene3391	2454	1386	1081	1677	1375	584	2083	2031
gbgene3392	1505	626	989	1198	1189	621	1672	1305
gbgene3393	1658	814	1788	1523	1015	1177	1507	2247
gbgene3394	586	365	716	600	322	363	519	844
gbgene3395	16090	9109	8738	10341	8358	8218	13164	12998
gbgene3396	497	128	221	549	460	10	653	600
gbgene3397	1218	771	1751	1394	954	1143	1205	2026
gbgene3398	2	5	0	1	0	0	3	0
gbgene3399	133	89	300	242	53	136	100	175
gbgene3400	16	17	78	67	13	41	26	36
gbgene3401	38	235	109	193	78	144	142	154
gbgene3402	12	24	65	39	108	49	92	52
gbgene3403	315	481	0	5	1	0	10	5
gbgene3404	10037	14170	2715	4530	3778	5	7602	5029
gbgene3405	138	2	20	6	1	12	1	5
gbgene3406	3	0	0	16	3	16	6	1
gbgene3407	0	0	0	0	0	0	0	0
gbgene3408	5	2	0	5	4	3	4	15
gbgene3409	0	0	0	0	0	0	0	0
gbgene3410	0	0	0	0	0	0	0	0
gbgene3411	1	0	0	0	1	0	0	0
gbgene3412	0	0	0	0	0	0	0	0
gbgene3413	0	0	0	0	0	0	0	0
gbgene3414	0	0	0	0	0	0	0	0
gbgene3415	0	0	0	0	0	0	0	0
gbgene3416	0	0	0	0	0	0	0	0
gbgene3417	0	0	0	0	0	0	0	0
gbgene3418	0	2	0	0	0	0	0	0
gbgene3419	0	0	0	0	0	0	0	0
gbgene3420	1	3	0	0	0	0	0	0
gbgene3421	1	0	0	2	0	0	1	0
gbgene3422	0	0	0	0	0	0	0	0
gbgene3423	0	0	2	0	0	0	0	0
gbgene3424	0	0	0	0	0	0	0	0
gbgene3425	2	0	0	0	0	0	0	0
gbgene3426	58	35	14	60	39	2	13	9
gbgene3427	3804	1333	876	2470	1685	1	2062	2092
gbgene3428	0	0	0	0	0	0	0	0
gbgene3429	0	2	0	0	3	0	0	4
gbgene3430	0	0	0	0	0	0	0	0
gbgene3431	8264	5831	82	60	51	61	139	74
gbgene3432	478	315	261	494	441	6	556	605
gbgene3433	0	2	4	2	4	1	4	3
gbgene3434	100	122	155	100	29	159	76	47
gbgene3435	4877	3029	4102	3498	2205	3804	3948	3976
gbgene3436	0	0	0	0	0	0	0	0
gbgene3437	0	0	0	0	0	0	0	0
gbgene3438	292	224	370	351	229	240	405	419
gbgene3439	213	198	126	168	92	151	356	199
gbgene3440	174	96	98	283	167	42	226	203
gbgene3441	6571	3639	2196	3714	2782	953	4253	4146
gbgene3442	373	418	476	363	202	507	231	257
gbgene3443	0	6	0	7	16	0	39	18
gbgene3444	0	0	0	0	0	0	0	5
gbgene3445	0	0	0	0	0	0	0	0
gbgene3446	779	276	578	1238	641	292	1045	966
gbgene3447	1119	430	315	483	374	239	471	612
gbgene3448	5703	3335	3270	3834	3329	3352	4997	6397
gbgene3449	880	326	518	623	396	260	625	875
gbgene3450	219	35	165	131	94	94	126	180
gbgene3451	7878	4132	3371	6921	5693	9	7768	7545
gbgene3452	33	24	16	24	8	25	19	24
gbgene3453	55	36	30	17	26	48	79	38
gbgene3454	83	61	51	80	45	54	88	75
gbgene3455	0	0	0	0	0	0	0	0
gbgene3456	6	0	12	11	3	23	22	24
gbgene3457	472	184	571	356	242	398	547	435
gbgene3458	169	121	128	215	159	90	192	200
gbgene3459	4011	2576	1747	2645	2045	1645	2757	3279
gbgene3460	0	0	0	0	0	0	0	0
gbgene3461	32	26	95	41	46	51	117	120
gbgene3462	0	0	0	0	0	0	0	0
gbgene3463	12412	5861	3704	4487	3956	32	5815	7084
gbgene3464	6	28	20	20	2	6	4	12
gbgene3465	17	13	236	310	23	53	30	98
gbgene3466	1855	472	2987	2624	2089	6473	3168	2136
gbgene3467	25648	9255	715	1368	5827	1712	11587	3224
gbgene3468	11776	7383	6	23	66	12	26	7
gbgene3469	54335	33368	13317	20722	19720	11	31469	33682
gbgene3470	185	128	181	157	140	102	250	280
gbgene3471	16	21	22	23	22	21	35	25
gbgene3472	856	780	235	516	501	5	694	499
gbgene3473	580	432	1132	908	511	1226	825	830
gbgene3474	722	511	768	715	648	595	950	1106
gbgene3475	23	7	119	18	0	109	31	83
gbgene3476	2	0	13	19	5	16	2	7
gbgene3477	1464	470	556	1228	812	23	1177	1189
gbgene3478	29725	17696	6951	11018	11217	6	15621	18419
gbgene3479	1588	867	428	646	708	0	1165	1107
gbgene3480	225	158	117	170	140	0	304	152
gbgene3481	8174	4511	6928	6554	5158	5430	5120	5182
gbgene3482	1745	532	1434	902	536	1720	1158	1024
gbgene3483	2504	42	172	696	1381	4	551	612
gbgene3484	0	0	0	5	0	0	0	0
