transcripts	GO-terms
gbgene3155	GO:0031267,GO:0032483,GO:0071782,GO:0048172,GO:0005737,GO:0032991,GO:1903233,GO:0034389,GO:0097051,GO:0043547,GO:1903373,GO:0061646,GO:0005096,GO:0060079,GO:0016236
gbgene3156	
gbgene3157	
gbgene3158	GO:0000445,GO:0006406,GO:0003729,GO:0006397,GO:0031990,GO:0000346,GO:0048477,GO:0005634,GO:0000347
gbgene3159	GO:0043005,GO:0050808,GO:0005887
gbgene3160	
gbgene3161	GO:0043005,GO:0050808,GO:0003674,GO:0005887
gbgene3162	GO:0043005,GO:0005887,GO:0032589,GO:0007529,GO:0050808,GO:0072499,GO:1904396
gbgene3163	
gbgene3164	GO:0016747
gbgene3165	GO:0003723,GO:0005634,GO:0071004,GO:0000398
gbgene3166	GO:0006869,GO:0005548,GO:0012505,GO:0005794,GO:0048813,GO:0016323,GO:0035149,GO:0005783,GO:0008289,GO:0008039,GO:0042157,GO:0008525
gbgene3167	GO:0006869,GO:0005548,GO:0012505,GO:0005794,GO:0048813,GO:0016323,GO:0035149,GO:0005783,GO:0008289,GO:0008039,GO:0042157,GO:0008525
gbgene3168	GO:0007095,GO:0033314,GO:0010997,GO:0032147,GO:0005634
gbgene3169	GO:0015031,GO:0031625,GO:0005737
gbgene3170	GO:0015031,GO:0031625,GO:0005737
gbgene3171	
gbgene3172	GO:0015031,GO:0031625,GO:0005737
gbgene3173	GO:0005730,GO:0005654,GO:0043186,GO:0045451,GO:0034046,GO:1990904,GO:0007283,GO:0008266,GO:0030371,GO:0048024,GO:0003697,GO:0005737,GO:0032991,GO:0005515,GO:0007319,GO:0003730,GO:0048026,GO:1903688,GO:0045727,GO:0005634,GO:0003729,GO:0048027
gbgene3174	GO:0010996,GO:0071260,GO:0036062,GO:0007638,GO:0045887,GO:0005261,GO:0005886,GO:0031594,GO:0005262,GO:0050954,GO:0042734,GO:1900074,GO:0043195,GO:0070050,GO:0034703,GO:0001964,GO:0048675,GO:0005874,GO:0005216,GO:0050974,GO:0006812,GO:0044214,GO:0000226,GO:0040011,GO:0008381,GO:0006816,GO:0030425,GO:0007605,GO:0016021,GO:0050976,GO:0007614,GO:0007528,GO:0030506,GO:0070588,GO:0007165,GO:0005929,GO:0050975,GO:0043025
gbman.GBUE021237-PA.1	
gbgene3177	GO:0016485,GO:0045464,GO:0004252,GO:0016020,GO:0051048,GO:0030173,GO:0005886,GO:0005802
gbgene3178	GO:1905330,GO:0007059,GO:0007301,GO:0014706,GO:0005737,GO:0007300,GO:0004722,GO:0031991,GO:0007312,GO:0046329,GO:1904886,GO:0045879,GO:0090263,GO:0017018,GO:0007498,GO:0005634,GO:0007476
gbgene3179	GO:0000253,GO:0072555,GO:0004303,GO:0072582
gbgene3180	GO:0000253,GO:0072555,GO:0004303,GO:0072582
gbgene3181	GO:0000253,GO:0072555,GO:0004303,GO:0072582
gbgene3182	GO:0016485,GO:0001941,GO:0004252,GO:0097090,GO:0016020,GO:0030173,GO:0008039,GO:0005886,GO:0097688,GO:0016486,GO:0005802
gbgene3183	GO:0005887,GO:0003674,GO:0007606,GO:0032589,GO:0050808
gbgene3184	GO:0005887,GO:0003674,GO:0007606,GO:0032589,GO:0050808
gbgene3185	
gbgene3186	GO:0006357,GO:0070776
gbgene3187	
gbgene3188	GO:0008150,GO:1903561,GO:0003674
gbgene3189	
gbgene3190	
gbgene3191	
gbgene3192	
gbman.GBUE002176-PA.1	GO:0005739,GO:0007005,GO:0016020
gbgene3194	GO:0005634,GO:0003713,GO:0005515,GO:0016592,GO:0006357,GO:0003712,GO:0070847
gbman.GBUE002178-PA.1	GO:0005737,GO:0004602,GO:0004667,GO:0006749,GO:0004364
gbman.GBUE020975-PA.1	GO:0006508,GO:1990525,GO:0005886,GO:0035103,GO:0016322,GO:0010623,GO:0005737,GO:0035070,GO:0048515,GO:0006915,GO:2001269,GO:0097153,GO:0010165,GO:0046672,GO:0097200,GO:0012501,GO:0005634,GO:0043066,GO:0004197,GO:0045476
gbman.GBUE002181-PA.1	
gbman.GBUE002182-PA.1	GO:0004311,GO:0008354,GO:0004659,GO:0035050,GO:0048477,GO:0008299
gbgene3198	
gbgene3199	GO:0005251,GO:0016021,GO:0005249,GO:0071805,GO:0008076,GO:0022843,GO:0032809,GO:0032590,GO:0051260,GO:0006813,GO:0030424
gbgene3200	GO:0016929,GO:0043065,GO:0000338,GO:0016926,GO:0019784,GO:0005634
gbgene3201	GO:0004518,GO:0008150,GO:0003674,GO:0005575
gbgene3202	
gbgene3203	
gbgene3204	
gbgene3205	GO:0016020,GO:0005635,GO:0106083,GO:0061024,GO:0001671,GO:0060590
gbgene3206	
gbgene3207	
gbgene3208	GO:0008188,GO:1904058,GO:0016021,GO:0050911,GO:0005887,GO:0007217,GO:0007186,GO:0004995,GO:0007218,GO:0042048,GO:0050805
gbman.GBUE021107-PA.1	GO:0016021,GO:0050911,GO:0004984,GO:0032590,GO:0005549,GO:0005886
gbgene3210	GO:0008188,GO:1904058,GO:0016021,GO:0050911,GO:0005887,GO:0007217,GO:0007186,GO:0004995,GO:0007218,GO:0042048,GO:0050805
gbgene3211	
gbgene3212	
gbgene3213	GO:0008188,GO:1904058,GO:0016021,GO:0050911,GO:0005887,GO:0007217,GO:0007186,GO:0004995,GO:0007218,GO:0042048,GO:0050805
gbgene3214	
gbgene3215	GO:1903646,GO:0072380,GO:0006620,GO:0030433,GO:0016020,GO:0060090
gbgene3216	
gbman.GBUE015715-PA.1	GO:0005737,GO:0030433,GO:0045861,GO:0005783,GO:0002814,GO:0043130,GO:0005634,GO:0061060
gbgene3218	GO:0006355,GO:0003690
gbgene3219	GO:0005771,GO:0000815,GO:0003674,GO:0032509,GO:0045324,GO:0015031,GO:0016197
gbgene3220	GO:0004014,GO:0008295,GO:0005829,GO:0006597,GO:0050829
gbgene3221	
gbgene3222	GO:0005730,GO:0006364,GO:0032040,GO:0016319
gbgene3223	GO:0005739,GO:0005758
gbgene3224	GO:0005739,GO:0005829,GO:0090200,GO:0043065,GO:0071456
gbgene3225	GO:0003924,GO:0015630,GO:0005737,GO:0005525,GO:0035147,GO:0060271
gbgene3226	GO:0012505,GO:0006491,GO:0000139,GO:0008340,GO:0072347,GO:0035010,GO:0005509,GO:0004571,GO:0005975,GO:0005783
gbgene3227	
gbgene3228	GO:0012505,GO:0006491,GO:0000139,GO:0008340,GO:0072347,GO:0035010,GO:0005509,GO:0004571,GO:0005975,GO:0005783
gbgene3229	GO:0036064,GO:0030674,GO:0061512,GO:0007098,GO:0060271,GO:0005929,GO:0034452,GO:0034464,GO:0000242
gbgene3230	
gbgene3231	
gbgene3232	GO:0043005,GO:0045211,GO:0048512,GO:0060072,GO:1900074,GO:0005515,GO:0055085,GO:0016020,GO:0015269,GO:0005886,GO:0008582,GO:0006813,GO:0007623,GO:0045433,GO:0009410,GO:0043025
gbgene3233	GO:0043005,GO:0045211,GO:0048512,GO:0060072,GO:1900074,GO:0005515,GO:0055085,GO:0016020,GO:0015269,GO:0005886,GO:0008582,GO:0006813,GO:0007623,GO:0045433,GO:0009410,GO:0043025
gbgene3234	GO:0043005,GO:0045211,GO:0048512,GO:0060072,GO:1900074,GO:0005515,GO:0055085,GO:0016020,GO:0015269,GO:0005886,GO:0008582,GO:0006813,GO:0007623,GO:0045433,GO:0009410,GO:0043025
gbgene3235	GO:0005739,GO:0004470,GO:0006090,GO:0006108,GO:0051287,GO:0004471,GO:0042593,GO:0004473
gbgene3236	GO:0003796,GO:0005615,GO:0032504,GO:0050829
gbgene3237	GO:0005829,GO:0022008
gbgene3238	
gbgene3239	GO:0005829,GO:0022008
gbgene3240	GO:0006839,GO:0005741,GO:0051537,GO:0007568,GO:0010506,GO:0006879
gbman.GBUE012220-PA.1	GO:0000122,GO:0046969,GO:0000785,GO:0090310,GO:0016575,GO:0008340,GO:0019213,GO:0017136,GO:0003714,GO:0070403,GO:0070932,GO:0004407,GO:0005634
gbgene3242	GO:0045211,GO:0005737,GO:0042136,GO:0007602,GO:0004465,GO:0071926,GO:0006629,GO:0006979,GO:0007216,GO:0022008,GO:0098921
gbgene3243	
gbgene3244	
gbman.GBUE021104-PA.1	
gbman.GBUE017332-PA.1	GO:0006357,GO:0005634,GO:0003700,GO:1990837
gbgene3246	
gbgene3247	
gbgene3248	
gbgene3249	GO:0031267,GO:0032483,GO:0110011,GO:0090630,GO:0045175,GO:0070831,GO:0005085,GO:0031410,GO:0097575,GO:0042998,GO:0045179,GO:0005516,GO:0061864,GO:0005886,GO:0055037,GO:0045089,GO:0110010,GO:0050829
gbgene3250	GO:0004168,GO:0030176,GO:0043048
gbgene3251	
gbgene3252	
gbgene3253	
gbgene3254	
gbgene3255	
gbman.GBUE000212-PA.1	GO:0005615,GO:0016021,GO:0003674,GO:0042981,GO:0031012
gbgene3258	
gbgene3259	
gbgene3260	GO:0051294,GO:0042803,GO:0005769,GO:0007018,GO:0035371,GO:0008017,GO:0000235,GO:0005871,GO:0072383,GO:0003777,GO:0050803,GO:0005524,GO:0016887,GO:0005874
gbgene3261	GO:0051294,GO:0042803,GO:0005769,GO:0007018,GO:0035371,GO:0008017,GO:0000235,GO:0005871,GO:0072383,GO:0003777,GO:0050803,GO:0005524,GO:0016887,GO:0005874
gbgene3262	
gbgene3263	
gbgene3264	GO:0038066,GO:0004709,GO:0043652,GO:0005524,GO:0071243,GO:0002385,GO:0005737,GO:0006468,GO:0001934,GO:0045815,GO:0031452,GO:0034605,GO:0046330,GO:0070059,GO:0031434,GO:0006979,GO:0000165,GO:0045793,GO:0035331,GO:0071475,GO:0071276
gbgene3265	GO:0038066,GO:0004709,GO:0043652,GO:0005524,GO:0071243,GO:0002385,GO:0005737,GO:0006468,GO:0001934,GO:0045815,GO:0031452,GO:0034605,GO:0046330,GO:0070059,GO:0031434,GO:0006979,GO:0000165,GO:0045793,GO:0035331,GO:0071475,GO:0071276
gbgene3266	GO:0008270,GO:0007286,GO:0016567,GO:0045046,GO:0061630,GO:0007112,GO:0005777,GO:0007031,GO:0016558,GO:0042760,GO:0048137,GO:0005778,GO:0007285
gbgene3267	GO:0004674,GO:0005737,GO:0005819,GO:0007165,GO:0018105,GO:0005524,GO:0005634
gbgene3268	GO:0048149,GO:0005737,GO:0034236,GO:2000480,GO:0005515,GO:0045475,GO:0007622,GO:0071361,GO:0030552,GO:0048148,GO:0005886,GO:0005952,GO:0007623,GO:0007411,GO:0004862
gbgene3269	GO:0048149,GO:0005737,GO:0034236,GO:2000480,GO:0005515,GO:0045475,GO:0007622,GO:0071361,GO:0030552,GO:0048148,GO:0005886,GO:0005952,GO:0007623,GO:0007411,GO:0004862
gbgene3270	GO:0006508,GO:0017171,GO:0004252
gbgene3271	
gbgene3272	GO:0034334,GO:0045926,GO:0006468,GO:0008285,GO:0035332,GO:0045197,GO:0007293,GO:0010669,GO:0048167,GO:0004715,GO:0004713,GO:0045571,GO:0005524,GO:0018108,GO:0043068,GO:0005911,GO:0016477
gbgene3273	
gbgene3274	
gbgene3275	
gbman.GBUE009708-PA.1	GO:0001700,GO:0046975,GO:0061086,GO:0006355,GO:0046974,GO:0032991,GO:0097676,GO:0035097,GO:0042799,GO:0010628,GO:0045815,GO:0051568,GO:0010452,GO:0018991,GO:0005634,GO:0000785,GO:0035035,GO:0042800,GO:0016571,GO:0005700,GO:0048477,GO:0003682,GO:0042054
gbgene3277	
gbgene3278	
gbman.GBUE021117-PA.1	
gbgene3279	GO:0009247,GO:0008376,GO:0005794,GO:0006688,GO:0033207,GO:0007528,GO:0008344,GO:0006044,GO:0005975,GO:0033842,GO:0070085
gbgene3280	
gbgene3281	GO:0009247,GO:0008376,GO:0005794,GO:0006688,GO:0033207,GO:0007528,GO:0008344,GO:0006044,GO:0005975,GO:0033842,GO:0070085
gbgene3282	
gbgene3283	GO:0051119,GO:0046323,GO:0005351,GO:0005887
gbgene3284	GO:0051119,GO:0046323,GO:0005351,GO:0005887
gbgene3285	GO:0000978,GO:0006355,GO:0005524,GO:0005634,GO:0048813,GO:0000981
gbgene3286	GO:0035165,GO:0045944,GO:0042675,GO:0003700,GO:0005524,GO:0035162,GO:0048749,GO:0007486,GO:0042688,GO:0000122,GO:0035163,GO:0042060,GO:0045467,GO:0035168,GO:0042691,GO:0000981,GO:0000978,GO:0003677,GO:0043565,GO:0046672,GO:0048592,GO:0016360,GO:0005634,GO:0035211,GO:0007469,GO:0035314,GO:0000976
gbgene3287	GO:0005085,GO:0032012
gbgene3288	
gbgene3289	GO:0005869
gbgene3290	GO:0080008,GO:0010891,GO:0005737,GO:0003674,GO:0006629,GO:0005975,GO:0009269,GO:0045717,GO:0010883,GO:0008150,GO:0005634
gbgene3291	GO:0030216,GO:0060395,GO:0008340,GO:0031669,GO:0071333,GO:0048018,GO:0010862,GO:0007411,GO:0002052,GO:0005615,GO:0010507,GO:0005125,GO:0001533,GO:0030509,GO:0008083,GO:0045464,GO:0005179,GO:0050803,GO:0032924,GO:0044719
gbgene3292	GO:0022857,GO:0055085,GO:0016021
gbgene3293	GO:0022857,GO:0055085,GO:0016021
gbman.GBUE010739-PA.1	GO:0032956,GO:0043622,GO:0045169,GO:0007315,GO:1902846,GO:1902966,GO:0045197,GO:0060446,GO:0005886,GO:0005902,GO:1990146,GO:0030175,GO:1990023,GO:0005737,GO:0008104,GO:0003779,GO:0030029,GO:0005515,GO:0008017,GO:1902115,GO:0045313,GO:0008284,GO:0045807,GO:0005884,GO:0007318,GO:0005912,GO:0016324,GO:0006405,GO:0016028,GO:0045177,GO:0034453,GO:0010669,GO:0002009,GO:0030036,GO:0005938,GO:0035003,GO:0042462,GO:0016057,GO:0035088,GO:0072499,GO:0032154,GO:0005634,GO:0005546,GO:0007010,GO:2000643,GO:0007368,GO:0008360,GO:0009952,GO:0015629,GO:0005829,GO:0016336,GO:0035149,GO:0000791,GO:0005819,GO:0030866,GO:0050839,GO:0007314,GO:0042052,GO:0098592,GO:0005703
gbgene3295	GO:0005739,GO:0006165,GO:0009142,GO:0004550,GO:0006228,GO:0006241,GO:0006183
gbgene3296	
gbgene3297	GO:0008150,GO:0005747,GO:0003674
gbgene3298	GO:0000122,GO:0030532,GO:0017070,GO:0097322,GO:0120259,GO:0000494,GO:0034244,GO:0003723,GO:0048024
gbgene3299	GO:0007298,GO:0045035,GO:1990001,GO:0007283,GO:0043154,GO:0048800,GO:0031398,GO:0097340,GO:0000209,GO:0005737,GO:0022416,GO:0046329,GO:0005515,GO:0044390,GO:0045116,GO:0061663,GO:0006915,GO:0046673,GO:0090263,GO:1990381,GO:0004842,GO:1903688,GO:2001271,GO:0061630,GO:0043027,GO:0004869,GO:0089720,GO:0007289,GO:0031624,GO:0048471,GO:0005634,GO:0031625,GO:0043066,GO:0008270,GO:0051865,GO:0051726,GO:0005876,GO:0070936
gbgene3300	
gbgene3301	GO:0106024,GO:0008188,GO:0048640,GO:0016021,GO:0007189,GO:0005887,GO:0008528,GO:0007186,GO:0004930,GO:0007190,GO:0005520,GO:0009755,GO:0048638
gbgene3302	
gbgene3303	
gbgene3304	
gbgene3305	
gbgene3306	GO:0000978,GO:0009653,GO:0030154,GO:0010628,GO:0006357,GO:0005634,GO:0000981
gbgene3307	GO:2000130,GO:0008344,GO:0008049,GO:0008343,GO:0002121,GO:0051260
gbgene3308	
gbman.GBUE014547-PA.1	GO:0005783,GO:0008194,GO:0043231,GO:0006805
gbgene3310	GO:0005615,GO:0003674,GO:0045924,GO:0032504,GO:0006952
gbgene3311	GO:0008345,GO:1905792,GO:0005887,GO:1905790,GO:0008381,GO:0046662,GO:0019232,GO:0030425,GO:0007635,GO:0019230,GO:0001582,GO:0050974
gbgene3312	GO:0098978,GO:0050998,GO:0098974
gbgene3313	GO:0098978,GO:0050998,GO:0098974
gbgene3314	GO:0002052,GO:0040037,GO:2001262,GO:0045743,GO:0072347,GO:0009888,GO:0045880,GO:0007415,GO:0008045,GO:0005604,GO:0045199,GO:0009887
gbgene3315	
gbgene3316	
gbman.GBUE009915-PA.1	GO:0020037,GO:0016705,GO:0005506,GO:0004497
gbman.GBUE009914-PA.1	GO:0020037,GO:0016705,GO:0005506,GO:0004497
gbman.GBUE009913-PA.1	GO:0020037,GO:0016705,GO:0005506,GO:0004497
gbman.GBUE021060-PA.1	
gbgene3320	GO:0009267,GO:0044804,GO:0050688,GO:0006497,GO:0000422,GO:0061723,GO:0006914,GO:0005776,GO:0000045,GO:0034045,GO:0034497,GO:0010506,GO:0016236,GO:0080025,GO:0014067,GO:0051607,GO:0019898,GO:0005829,GO:0032266,GO:0035069,GO:0035096
gbgene3321	GO:0016021,GO:0019835
gbman.GBUE009909-PA.1	GO:0031145,GO:0001751,GO:0016567,GO:0051276,GO:0061631,GO:0016322,GO:0000209,GO:0048132,GO:0005515,GO:0030718,GO:0045879,GO:0097039,GO:0001745,GO:0006511,GO:0061057,GO:0005634,GO:0045676,GO:0031625,GO:0031647,GO:0000278,GO:0007140
gbgene3323	GO:0007059,GO:0007298,GO:0007060,GO:0005635,GO:0051303,GO:0030951,GO:0007052,GO:0000132,GO:0047496,GO:0007080,GO:0050775,GO:0051298,GO:0008017,GO:0031616,GO:0051647,GO:0000776,GO:0007100,GO:0030424,GO:0016477,GO:0007409,GO:0007020,GO:0007294,GO:0005813,GO:0005871,GO:0030425,GO:0048813,GO:0070732,GO:0051642,GO:0005819
gbgene3324	GO:0098725,GO:0032133,GO:0004674,GO:0032880,GO:0035174,GO:0007098,GO:0018105,GO:0005524,GO:0007052,GO:0004712,GO:0007279,GO:0005737,GO:0051233,GO:0005515,GO:0031616,GO:0007100,GO:0045167,GO:0032465,GO:0005813,GO:0050767,GO:0051294,GO:0045739,GO:0051299,GO:1904776,GO:0005876
gbgene3325	GO:0051787,GO:0031593,GO:0005829,GO:0030433,GO:0071818,GO:0019899,GO:0043066
gbgene3326	GO:0005615,GO:0030514,GO:0031012,GO:0007474,GO:0007476
gbgene3327	GO:0016021,GO:0006814,GO:0005272,GO:0005887,GO:0015280,GO:0035725
gbgene3328	GO:0006508,GO:0017171,GO:0004185,GO:0033227
gbgene3329	
gbgene3330	
gbgene3331	
gbgene3332	
gbgene3333	
gbgene3334	
gbgene3335	GO:0006085,GO:0005515,GO:0003987,GO:0005886,GO:0007411
gbgene3336	
gbgene3337	GO:0015108,GO:0005794,GO:0005769,GO:0005887,GO:0005254,GO:0016020,GO:0008021,GO:0048388,GO:0003014,GO:0055037,GO:0005247,GO:1902476,GO:0015299
gbman.GBUE001411-PA.1	GO:0004497,GO:0042742,GO:0005506,GO:0016705,GO:0020037
gbman.GBUE020955-PA.1	GO:0020037,GO:0016705,GO:0005506,GO:0004497
gbman.GBUE020956-PA.1	GO:0004497,GO:0042742,GO:0005506,GO:0016705,GO:0020037
gbgene3340	
gbgene3341	
gbgene3342	
gbgene3343	GO:0005730,GO:0045944,GO:2000765,GO:2000373,GO:0003725,GO:0072487,GO:1990904,GO:0005524,GO:0016456,GO:0034458,GO:0050684,GO:0003678,GO:0000805,GO:0005737,GO:0008340,GO:0048675,GO:0045433,GO:0106222,GO:0000228,GO:0032508,GO:0043138,GO:0001069,GO:0004386,GO:0007549,GO:0005694,GO:0005634,GO:0000785,GO:0005829,GO:0031453,GO:0033679,GO:0003690,GO:0009047,GO:0005700,GO:0003723,GO:0003682
gbgene3344	GO:0005736,GO:0003677,GO:0001188,GO:0006362,GO:0042790
gbgene3345	GO:0005758
gbgene3346	GO:0001676,GO:0006635,GO:0007031,GO:0042760,GO:0005779,GO:0042626,GO:0015910,GO:0005524,GO:0005324,GO:0015607,GO:0005778
gbgene3347	
gbgene3348	GO:0001676,GO:0006635,GO:0007031,GO:0042760,GO:0005779,GO:0042626,GO:0015910,GO:0005524,GO:0005324,GO:0015607,GO:0005778
gbgene3349	GO:0001676,GO:0006635,GO:0007031,GO:0042760,GO:0005779,GO:0042626,GO:0015910,GO:0005524,GO:0005324,GO:0015607,GO:0005778
gbgene3350	
gbgene3351	GO:0051119,GO:0046323,GO:0005351,GO:0005887
gbgene3352	
gbgene3353	GO:0006338,GO:0016573,GO:0043967,GO:0140672,GO:0043966
gbgene3354	GO:0030100,GO:0005795,GO:0000139,GO:0032012,GO:0045806,GO:0043087,GO:0005096
gbgene3355	
gbgene3356	GO:0030308,GO:0005829,GO:0017148,GO:0045727,GO:0003730,GO:0003723,GO:0010494
gbgene3357	GO:0007264,GO:0007266,GO:0031267,GO:2001136,GO:0005769,GO:0005737,GO:0007370,GO:0051497,GO:0055037,GO:0007480,GO:0005096,GO:0045887
gbgene3358	GO:0004370,GO:0050975,GO:0005737,GO:0042327
gbgene3359	GO:0045824,GO:0006913,GO:0017053,GO:0005654,GO:0005737,GO:0005515,GO:0044613,GO:0006606,GO:0016973,GO:0005635,GO:0005634,GO:0050829
gbgene3360	GO:0006357,GO:0042059,GO:0005634,GO:0042051
gbgene3361	
gbgene3362	
gbman.GBUE006265-PA.1	GO:0017171,GO:0005515,GO:0004301,GO:0097176,GO:0033961,GO:0008096,GO:0006719
gbgene3363	GO:0033615,GO:0032592
gbgene3364	
gbgene3365	GO:0006471,GO:0032212,GO:2000060,GO:0005737,GO:1904355,GO:0003950,GO:0032436,GO:0045732,GO:0070212,GO:0070198,GO:0008363,GO:0051225,GO:0090263,GO:0007367,GO:0005634
gbgene3366	
gbgene3367	GO:0005634
gbgene3368	
gbgene3369	
gbgene3370	
gbgene3371	GO:0003677,GO:0005634
gbgene3372	GO:0003677,GO:0006355,GO:0003713,GO:0001099,GO:0003700,GO:0005634
gbgene3373	GO:0008270,GO:0000978,GO:0001228,GO:0006357,GO:0005634
gbgene3374	
gbgene3375	
gbgene3376	GO:0008270,GO:0000978,GO:0006355,GO:0005634,GO:0000981
gbgene3377	GO:0005667,GO:0005515,GO:0010628,GO:0016592,GO:0006357,GO:0003712
gbgene3378	
gbgene3379	
gbgene3380	GO:0016308,GO:0010513,GO:0035997,GO:0071482,GO:0005886,GO:0008582,GO:0046854,GO:0007603
gbgene3381	GO:0006893,GO:0003674,GO:0005575
gbgene3382	GO:0043596,GO:0006261,GO:0042023,GO:0006281,GO:0035185,GO:0000278,GO:0003682
gbgene3383	
gbgene3384	
gbgene3385	
gbgene3386	GO:0016021,GO:0007417,GO:0014068,GO:0006468,GO:0005887,GO:0017147,GO:0033674,GO:0004713,GO:0004714,GO:0010976,GO:0005524,GO:0043235,GO:0007169
gbgene3387	GO:0045824,GO:0005654,GO:0005737,GO:0005634,GO:0003713,GO:0005515,GO:0016592,GO:0006357,GO:0003712,GO:0070847,GO:0050829
gbgene3388	GO:0031647,GO:0004843,GO:0042675,GO:0045874,GO:0016579,GO:0046628,GO:0070374,GO:0005829,GO:0090263,GO:0004197,GO:0032435,GO:0045742,GO:0050821,GO:0005634
gbgene3389	
gbgene3390	GO:0046595,GO:0045451,GO:0005737,GO:0000398,GO:0000226,GO:0007294,GO:0003729,GO:0005515,GO:0007310,GO:0007317,GO:0000335,GO:0035145,GO:0051663,GO:0007314,GO:0071013,GO:0005634,GO:0008380
gbgene3391	GO:0003735,GO:0005763,GO:0032543
gbgene3392	GO:0033971,GO:0006144
gbgene3393	GO:0000398,GO:0035194,GO:0005515,GO:0045071,GO:0016604,GO:0006397,GO:0030422,GO:0071011,GO:0071013,GO:0031053,GO:0050829
gbgene3394	GO:0000398,GO:0035194,GO:0005515,GO:0045071,GO:0016604,GO:0006397,GO:0030422,GO:0071011,GO:0071013,GO:0031053,GO:0050829
gbgene3395	GO:0003723,GO:0003743,GO:0071456,GO:0001731,GO:0016282,GO:0043024,GO:0043614
gbgene3396	GO:0006378,GO:0003729,GO:0005849,GO:0006397
gbgene3397	GO:0005730,GO:0051091,GO:0021952,GO:0045880,GO:0006464,GO:0000794,GO:0007052,GO:0046843,GO:0000779,GO:0002225,GO:0043406,GO:0035186,GO:0071560,GO:0046579,GO:0055088,GO:0035073,GO:0031386,GO:0016925,GO:1903078,GO:0005634,GO:0044389,GO:0060997,GO:0045752,GO:0000940,GO:0030496
gbgene3398	
gbman.GBUE003021-PA.1	GO:0005615,GO:0062023,GO:0007399,GO:0008587,GO:0097305,GO:0016318,GO:0048749,GO:0008407
gbgene3400	
gbgene3401	GO:0042734,GO:0007605,GO:0007614,GO:1900074,GO:0000226,GO:0007528,GO:0043195,GO:0036062,GO:0007165,GO:0070050,GO:0005886,GO:0031594,GO:0048675,GO:0045887
gbgene3402	GO:0016021,GO:0008340,GO:0007186,GO:0004930,GO:0007166,GO:0042594
gbgene3403	
gbgene3404	
gbgene3405	
gbgene3406	
gbgene3407	
gbgene3408	
gbgene3409	
gbgene3410	
gbgene3411	
gbgene3412	
gbgene3413	
gbgene3414	
gbgene3415	
gbgene3416	
gbgene3417	
gbgene3418	
gbgene3419	
gbgene3420	
gbgene3421	
gbgene3422	
gbgene3423	
gbgene3424	
gbgene3425	
gbgene3426	
gbgene3427	GO:0005739,GO:0005756,GO:0000275,GO:0046933,GO:0015986
gbgene3428	
gbgene3429	
gbgene3430	
gbgene3431	GO:0016747
gbgene3432	
gbgene3433	
gbgene3434	GO:0032432,GO:0016327,GO:0016324,GO:0006897,GO:0003779,GO:0042060,GO:0005515,GO:0045186,GO:0008017,GO:0032509,GO:0005543,GO:0005886,GO:0007009
gbgene3435	GO:0006338,GO:0005654,GO:0006355,GO:0008586,GO:0045893,GO:0014017,GO:0048190,GO:0006357,GO:0071565,GO:0031491,GO:0016514,GO:0046530,GO:0035060,GO:0007480,GO:0016055,GO:0007476,GO:0003677,GO:0005634,GO:0008587,GO:0007379,GO:0007406,GO:0005700
gbgene3436	
gbgene3437	
gbgene3438	
gbgene3439	GO:0022416,GO:0006887,GO:0051686,GO:0001555,GO:0016192,GO:0005789,GO:0007296,GO:0007029,GO:0008407
gbgene3440	GO:0010513,GO:0007602,GO:0005789,GO:0016056,GO:0010868,GO:0008610,GO:0007291,GO:0010883,GO:0016024,GO:0007430,GO:0043052,GO:0004605
gbgene3441	GO:0008270,GO:0031901,GO:0000209,GO:0005737,GO:0031902,GO:0006955,GO:0061630,GO:0042287,GO:0005764,GO:0005886,GO:0002495
gbgene3442	GO:0061158,GO:0046872,GO:0035194,GO:0005829,GO:0035925,GO:0003730,GO:1900153,GO:0005634,GO:0010629
gbgene3443	
gbgene3444	GO:0010996,GO:0071260,GO:0007638,GO:0005261,GO:0005262,GO:0050954,GO:0034703,GO:0001964,GO:0005874,GO:0005216,GO:0050974,GO:0006812,GO:0044214,GO:0040011,GO:0008381,GO:0006816,GO:0030425,GO:0007605,GO:0016021,GO:0050976,GO:0030506,GO:0070588,GO:0005929,GO:0050975,GO:0043025
gbgene3445	
gbgene3446	GO:0043484,GO:0005654,GO:0005737,GO:0030576,GO:0031507,GO:0009225,GO:1990966,GO:0005975,GO:0006282,GO:0031056,GO:0036099,GO:0009408,GO:0035065,GO:0005634,GO:0004649,GO:0051457
gbgene3447	GO:0071014,GO:0000398
gbgene3448	GO:0000502,GO:0003674,GO:0008541,GO:0043161,GO:0006511,GO:0005634,GO:0005838
gbgene3449	GO:0032511
gbgene3450	GO:0008150,GO:0003674,GO:0005575
gbgene3451	GO:0005615,GO:0006508,GO:0004252
gbgene3452	GO:0017157,GO:0006893,GO:0050708,GO:0005737,GO:0006887,GO:0045159,GO:0031201,GO:0000149,GO:0007616,GO:1900073,GO:0005886,GO:0031594,GO:0019905,GO:0005096
gbgene3453	GO:0017157,GO:0006893,GO:0050708,GO:0005737,GO:0006887,GO:0045159,GO:0031201,GO:0000149,GO:0007616,GO:1900073,GO:0005886,GO:0031594,GO:0019905,GO:0005096
