transcripts	GO-terms
gbgene102	GO:0016063
gbgene103	
gbgene104	
gbgene105	
gbgene106	
gbgene107	GO:0003735,GO:0005762,GO:0032543
gbgene108	
gbgene109	GO:0005634,GO:0006355,GO:0046716,GO:0035363,GO:0007419,GO:0003712
gbgene110	
gbgene111	GO:0005681,GO:0042981,GO:0003674,GO:0005634
gbgene112	
gbgene113	
gbgene114	GO:0031267,GO:0007298,GO:0006893,GO:0006886,GO:0022416,GO:0006887,GO:0000145,GO:0031410,GO:0072659,GO:0043679,GO:0016192,GO:0032456,GO:0055037,GO:0042331,GO:0005768,GO:0090522,GO:0007411
gbgene115	GO:0007155,GO:0031012,GO:0004867
gbgene116	
gbgene117	
gbman.GBUE020959-PA.1	GO:0016021,GO:0050911,GO:0004888,GO:0004984,GO:0005549,GO:0032590,GO:0005886,GO:0007608
gbgene119	
gbgene120	GO:0006364,GO:0003674,GO:0005634
gbgene121	GO:0005739,GO:0090409,GO:0031957,GO:0090410,GO:0016405,GO:0006633
gbgene122	GO:0042383,GO:0016010,GO:0046716,GO:0045197,GO:0016011,GO:0016334,GO:0005886,GO:0031594,GO:0060025,GO:0031532,GO:0045214,GO:0021675,GO:0005515,GO:0005509,GO:0007309,GO:0005055,GO:0007411,GO:0007295,GO:0009925,GO:0030010,GO:0007293,GO:0002009,GO:0008307,GO:0030018,GO:0035088,GO:0016203,GO:0007163,GO:0006110,GO:0007314,GO:0030315,GO:0007474,GO:0043236,GO:0048854
gbgene123	GO:0008150,GO:0003674,GO:0005575
gbgene124	
gbgene125	
gbgene126	
gbgene127	
gbgene128	GO:0004651,GO:0006470,GO:0005575,GO:0008138
gbgene129	GO:0003341,GO:0003674,GO:0005575
gbgene130	
gbgene131	
gbgene132	GO:0031012,GO:0005201
gbgene133	
gbgene134	GO:0005615,GO:0006826,GO:0005769,GO:0005506,GO:0009620,GO:0005576,GO:0005886,GO:0042048,GO:0055037
gbgene135	GO:0005615,GO:0006826,GO:0005769,GO:0005506,GO:0009620,GO:0005576,GO:0005886,GO:0042048,GO:0055037
gbgene136	GO:0098793,GO:0071782,GO:0008017,GO:0016020,GO:0005783,GO:0005789,GO:0034976,GO:0007029,GO:0071786,GO:0005881
gbgene137	GO:0098793,GO:0071782,GO:0008017,GO:0016020,GO:0005783,GO:0005789,GO:0034976,GO:0007029,GO:0071786,GO:0005881
gbgene138	
gbgene139	
gbgene140	
gbgene141	
